image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000103_03738_d_0000032,3,<50,23,3,3,3,3,0,0,5,0,5,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,66,4,4,4,4,0,0,5,0,7,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,127,2,2,2,2,0,0,3,0,7,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,22,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,490,33,40,43,43,3,0,21,0,41,0,56,36,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,53,65,70,70,5,0,49,0,115,0,67,54,11,11,0,0
0000115_01031_d_0000082,63,50-100,1000,46,57,62,62,5,1,57,0,127,0,52,46,11,11,0,0
0000116_00351_d_0000083,74,50-100,701,57,69,69,70,1,0,60,0,113,0,65,60,9,9,0,0
0000116_00819_d_0000084,36,<50,797,30,33,34,34,1,0,35,0,71,0,24,21,12,12,0,0
0000116_01059_d_0000085,70,50-100,816,48,61,62,62,1,0,49,0,103,0,59,50,11,11,0,0
0000116_01338_d_0000086,54,50-100,554,35,46,46,46,0,0,28,0,51,0,47,39,5,5,2,2
0000117_00112_d_0000087,129,100-150,874,72,113,122,122,9,0,72,0,155,0,112,97,13,12,4,4
0000117_01326_d_0000088,62,50-100,1000,44,56,58,60,4,0,61,0,169,0,34,30,27,25,1,1
0000117_01731_d_0000089,47,<50,448,43,44,44,44,0,0,60,0,95,0,27,24,15,15,5,5
0000117_02708_d_0000090,100,100-150,1000,60,89,91,92,3,0,84,0,187,0,64,56,36,33,0,0
0000117_03096_d_0000091,24,<50,1000,24,24,24,24,0,0,96,0,220,0,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,1000,100,158,165,169,11,1,148,0,218,0,73,47,113,111,0,0
0000153_00001_d_0000001,55,50-100,538,44,48,49,49,1,1,42,0,77,0,47,40,8,8,0,0
0000153_00401_d_0000001,59,50-100,740,48,53,53,53,0,0,59,0,101,0,47,41,11,11,1,1
0000153_00801_d_0000001,49,<50,670,39,43,43,43,0,0,47,0,95,0,40,34,9,9,0,0
0000153_01201_d_0000001,59,50-100,600,37,44,46,46,2,0,47,0,102,0,57,42,2,2,0,0
0000153_01601_d_0000001,63,50-100,483,46,51,53,53,2,0,39,0,89,0,57,46,5,4,1,1
0000153_01801_d_0000001,55,50-100,576,40,44,44,44,0,0,45,0,79,0,52,41,3,3,0,0
0000154_00001_d_0000001,51,50-100,630,45,48,48,48,0,0,45,0,98,0,43,40,8,8,0,0
0000154_00401_d_0000001,60,50-100,647,52,54,54,54,0,0,52,0,90,0,51,45,9,9,0,0
0000154_00801_d_0000001,72,50-100,604,49,56,57,57,1,0,43,0,100,0,67,52,5,4,0,0
