image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,531,85,103,105,105,2,0,95,0,138,0,76,57,51,46,0,0
0000001_03499_d_0000006,77,50-100,573,56,59,61,61,2,0,81,0,118,0,53,35,20,20,4,4
0000001_03999_d_0000007,48,<50,605,39,41,42,42,1,0,85,0,116,0,26,20,21,20,1,1
0000001_04527_d_0000008,115,100-150,924,72,100,105,105,5,2,88,0,162,0,72,63,43,37,0,0
0000001_05249_d_0000009,113,100-150,573,91,108,109,109,1,0,115,0,145,0,27,22,85,85,1,1
0000001_05499_d_0000010,140,100-150,521,95,125,127,127,2,0,107,0,132,0,52,40,67,64,21,21
0000001_05999_d_0000011,115,100-150,524,83,104,106,106,2,0,106,0,147,0,66,55,42,42,7,7
0000001_07999_d_0000012,136,100-150,816,83,106,108,110,4,0,113,0,172,0,99,70,37,36,0,0
0000001_08414_d_0000013,164,150-300,802,89,136,142,143,7,1,130,0,203,0,107,83,54,50,3,3
0000021_00000_d_0000001,31,<50,107,24,24,24,24,0,0,18,0,22,0,23,17,8,7,0,0
0000021_00500_d_0000002,17,<50,55,15,15,15,15,0,0,17,0,22,0,15,13,2,2,0,0
0000021_00800_d_0000003,7,<50,21,6,6,6,6,0,0,10,0,10,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,110,37,37,37,37,0,0,40,0,51,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,108,30,30,30,30,0,0,30,0,36,0,22,20,10,10,0,0
0000022_01036_d_0000006,16,<50,67,15,15,15,15,0,0,14,0,18,0,4,3,12,12,0,0
0000022_01251_d_0000007,12,<50,89,11,11,11,11,0,0,14,0,19,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,110,36,36,36,36,0,0,40,0,51,0,35,31,5,5,0,0
0000023_00300_d_0000009,30,<50,97,29,29,29,29,0,0,25,0,34,0,25,24,5,5,0,0
0000023_00868_d_0000010,20,<50,98,19,19,19,19,0,0,14,0,17,0,6,5,13,13,1,1
0000023_01233_d_0000011,14,<50,73,13,13,13,13,0,0,13,0,17,0,0,0,14,13,0,0
0000024_00000_d_0000012,21,<50,76,19,19,19,19,0,0,14,0,23,0,9,8,12,11,0,0
0000024_00500_d_0000013,10,<50,73,9,9,9,9,0,0,9,0,11,0,1,1,9,8,0,0
0000024_01000_d_0000014,12,<50,80,5,5,5,5,0,0,6,0,10,0,12,5,0,0,0,0
0000024_01543_d_0000015,8,<50,43,8,8,8,8,0,0,6,0,8,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,20,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,49,15,15,15,15,0,0,18,0,20,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,79,25,25,25,25,0,0,28,0,29,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,42,10,10,10,10,0,0,12,0,12,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,57,9,9,9,9,0,0,12,0,13,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,43,17,17,17,17,0,0,15,0,17,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,51,13,13,13,13,0,0,13,0,14,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,51,22,22,22,22,0,0,26,0,26,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,47,14,14,14,14,0,0,16,0,17,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,273,37,39,39,39,0,0,37,0,53,0,24,18,22,20,1,1
0000026_04978_d_0000034,45,<50,209,40,42,42,42,0,0,39,0,46,0,16,14,28,27,1,1
0000055_00000_d_0000109,101,100-150,537,70,83,87,87,4,0,67,0,95,0,57,43,44,40,0,0
0000055_00714_d_0000110,85,50-100,502,62,72,75,75,3,0,64,0,101,0,48,37,37,35,0,0
0000069_00001_d_0000001,34,<50,146,32,32,32,32,0,0,37,0,41,0,7,7,24,22,3,3
0000069_00483_d_0000002,27,<50,112,26,26,26,26,0,0,30,0,35,0,6,5,19,19,2,2
0000069_00713_d_0000003,49,<50,270,44,49,49,49,0,0,40,0,56,0,22,22,21,21,6,6
0000069_01109_d_0000004,31,<50,141,30,31,31,31,0,0,32,0,40,0,6,6,25,25,0,0
0000069_01878_d_0000005,36,<50,132,34,34,34,34,0,0,37,0,42,0,12,11,21,20,3,3
0000069_02163_d_0000006,49,<50,264,42,45,45,45,0,0,37,0,51,0,17,14,29,28,3,3
0000069_02480_d_0000007,64,50-100,412,54,56,57,57,1,0,57,0,78,0,29,22,34,33,1,1
0000072_02834_d_0000003,73,50-100,298,68,72,72,72,0,0,67,0,80,0,21,20,51,51,1,1
0000076_02142_d_0000009,11,<50,67,11,11,11,11,0,0,9,0,12,0,4,4,4,4,3,3
0000081_00000_d_0000001,86,50-100,810,65,76,78,79,3,0,165,0,260,0,74,64,12,12,0,0
0000086_00000_d_0000001,37,<50,173,36,36,36,36,0,0,42,0,51,0,21,20,16,16,0,0
0000086_00592_d_0000002,65,50-100,245,57,60,60,60,0,0,62,0,80,0,40,36,25,24,0,0
0000086_01084_d_0000003,146,100-150,520,92,127,129,129,2,0,111,0,149,0,132,113,14,14,0,0
0000086_01443_d_0000004,107,100-150,536,81,101,103,103,2,0,115,0,158,0,96,90,11,11,0,0
0000086_01954_d_0000005,173,150-300,541,92,137,140,140,3,0,112,0,144,0,163,127,10,10,0,0
0000103_00180_d_0000026,1,<50,54,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,20,3,3,3,3,0,0,3,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,26,4,4,4,4,0,0,4,0,7,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,129,12,13,13,13,0,0,14,0,18,0,0,0,10,9,4,4
0000103_02964_d_0000030,10,<50,115,10,10,10,10,0,0,9,0,18,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,39,4,4,4,4,0,0,5,0,5,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,23,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,78,4,4,4,4,0,0,7,0,7,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,40,2,2,2,2,0,0,2,0,5,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,15,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,195,40,43,43,43,0,0,27,0,32,0,56,39,5,4,0,0
0000115_00796_d_0000081,78,50-100,571,59,65,66,66,1,0,47,0,81,0,67,54,11,11,0,0
0000115_01031_d_0000082,63,50-100,439,55,61,61,61,0,0,51,0,80,0,52,50,11,11,0,0
0000116_00351_d_0000083,74,50-100,380,61,68,69,69,1,0,58,0,84,0,65,59,9,9,0,0
0000116_00819_d_0000084,36,<50,358,35,36,36,36,0,0,33,0,48,0,24,24,12,12,0,0
0000116_01059_d_0000085,70,50-100,372,58,64,64,64,0,0,52,0,87,0,59,53,11,11,0,0
0000116_01338_d_0000086,54,50-100,316,44,44,44,44,0,0,33,0,49,0,47,37,5,5,2,2
0000117_00112_d_0000087,129,100-150,314,79,115,115,115,0,0,48,0,73,0,112,98,13,13,4,4
0000117_01326_d_0000088,62,50-100,561,48,55,58,58,3,0,37,0,58,0,34,30,27,24,1,1
