image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000001_02999_d_0000005,127,100-150,1000,68,96,106,112,16,4,79,0,181,0,76,58,51,38,0,0
0000001_03499_d_0000006,77,50-100,1000,45,57,66,68,11,1,65,0,144,0,53,34,20,19,4,4
0000001_03999_d_0000007,48,<50,1000,36,42,42,44,2,0,64,0,150,0,26,23,21,18,1,1
0000001_04527_d_0000008,115,100-150,1000,62,92,99,103,11,0,79,0,231,0,72,55,43,37,0,0
0000001_05249_d_0000009,113,100-150,1000,79,104,108,109,5,0,107,0,172,0,27,22,85,81,1,1
0000001_05499_d_0000010,140,100-150,1000,87,116,125,130,14,1,91,0,135,0,52,30,67,65,21,21
0000001_05999_d_0000011,115,100-150,1000,71,96,103,104,8,1,88,0,194,0,66,50,42,39,7,7
0000001_07999_d_0000012,136,100-150,1000,63,94,110,113,19,0,86,0,223,0,99,63,37,31,0,0
0000001_08414_d_0000013,164,150-300,1000,77,131,141,150,19,2,108,0,277,0,107,83,54,45,3,3
0000021_00000_d_0000001,31,<50,429,18,19,20,20,1,0,11,0,19,0,23,12,8,7,0,0
0000021_00500_d_0000002,17,<50,348,15,17,17,17,0,0,11,0,29,0,15,15,2,2,0,0
0000021_00800_d_0000003,7,<50,241,6,6,6,6,0,0,6,0,19,0,7,6,0,0,0,0
0000022_00000_d_0000004,41,<50,691,34,37,39,39,2,0,33,0,59,0,35,31,6,6,0,0
0000022_00500_d_0000005,32,<50,551,29,31,31,31,0,0,27,0,40,0,22,21,10,10,0,0
0000022_01036_d_0000006,16,<50,479,16,16,16,16,0,0,10,0,26,0,4,4,12,12,0,0
0000022_01251_d_0000007,12,<50,464,11,11,11,11,0,0,12,0,22,0,0,0,12,11,0,0
0000023_00000_d_0000008,40,<50,691,35,37,37,37,0,0,33,0,59,0,35,32,5,5,0,0
0000023_00300_d_0000009,30,<50,618,27,30,30,30,0,0,23,0,44,0,25,25,5,5,0,0
0000023_00868_d_0000010,20,<50,456,17,19,19,19,0,0,12,0,20,0,6,6,13,12,1,1
0000023_01233_d_0000011,14,<50,451,12,14,14,14,0,0,13,0,19,0,0,0,14,14,0,0
0000024_00000_d_0000012,21,<50,410,19,20,20,20,0,0,14,0,28,0,9,9,12,11,0,0
0000024_00500_d_0000013,10,<50,312,8,10,10,10,0,0,4,0,17,0,1,1,9,9,0,0
0000024_01000_d_0000014,12,<50,229,7,7,7,7,0,0,3,0,7,0,12,7,0,0,0,0
0000024_01543_d_0000015,8,<50,190,8,8,8,8,0,0,6,0,9,0,1,1,7,7,0,0
0000026_00000_d_0000024,8,<50,69,8,8,8,8,0,0,8,0,8,0,0,0,2,2,6,6
0000026_00500_d_0000025,15,<50,211,15,15,15,15,0,0,19,0,21,0,1,1,4,4,10,10
0000026_01000_d_0000026,25,<50,364,24,25,25,25,0,0,24,0,30,0,3,3,3,3,19,19
0000026_01500_d_0000027,10,<50,61,10,10,10,10,0,0,12,0,14,0,0,0,1,1,9,9
0000026_02000_d_0000028,9,<50,72,9,9,9,9,0,0,10,0,14,0,0,0,2,2,7,7
0000026_02500_d_0000029,17,<50,213,16,17,17,17,0,0,17,0,23,0,9,9,4,4,4,4
0000026_03000_d_0000030,13,<50,126,13,13,13,13,0,0,13,0,16,0,0,0,5,5,8,8
0000026_03500_d_0000031,23,<50,170,22,22,22,22,0,0,22,0,25,0,1,1,6,6,16,15
0000026_04000_d_0000032,14,<50,112,14,14,14,14,0,0,17,0,20,0,0,0,2,2,12,12
0000026_04500_d_0000033,47,<50,1000,37,39,39,39,0,0,37,0,58,0,24,18,22,20,1,1
0000026_04978_d_0000034,45,<50,578,41,43,43,43,0,0,35,0,49,0,16,15,28,27,1,1
0000055_00000_d_0000109,101,100-150,1000,60,76,82,85,9,0,46,0,87,0,57,38,44,38,0,0
0000055_00714_d_0000110,85,50-100,1000,51,68,72,76,8,1,43,0,71,0,48,35,37,33,0,0
0000069_00001_d_0000001,34,<50,590,34,34,34,34,0,0,34,0,46,0,7,7,24,24,3,3
0000069_00483_d_0000002,27,<50,515,27,27,27,27,0,0,31,0,48,0,6,6,19,19,2,2
0000069_00713_d_0000003,49,<50,1000,42,46,48,48,2,0,34,0,73,0,22,19,21,21,6,6
0000069_01109_d_0000004,31,<50,1000,28,30,30,30,0,0,26,0,42,0,6,6,25,24,0,0
0000069_01878_d_0000005,36,<50,606,35,35,35,35,0,0,32,0,49,0,12,11,21,21,3,3
0000069_02163_d_0000006,49,<50,1000,36,41,42,43,2,0,37,0,68,0,17,14,29,24,3,3
0000069_02480_d_0000007,64,50-100,1000,47,55,58,59,4,0,39,0,80,0,29,23,34,31,1,1
0000072_02834_d_0000003,73,50-100,1000,62,67,70,71,4,0,66,0,94,0,21,16,51,50,1,1
0000076_02142_d_0000009,11,<50,174,10,10,10,10,0,0,12,0,13,0,4,3,4,4,3,3
0000081_00000_d_0000001,86,50-100,1000,58,75,79,81,6,1,120,0,287,0,74,64,12,11,0,0
0000086_00000_d_0000001,37,<50,850,35,35,35,35,0,0,44,0,53,0,21,19,16,16,0,0
0000086_00592_d_0000002,65,50-100,1000,58,62,63,64,2,0,55,0,87,0,40,37,25,25,0,0
0000086_01084_d_0000003,146,100-150,1000,74,106,119,124,18,1,92,0,161,0,132,93,14,13,0,0
0000086_01443_d_0000004,107,100-150,1000,75,94,98,101,7,0,97,0,190,0,96,83,11,11,0,0
0000086_01954_d_0000005,173,150-300,1000,85,116,133,138,22,2,102,0,182,0,163,107,10,9,0,0
0000103_00180_d_0000026,1,<50,61,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,46,3,3,3,3,0,0,4,0,4,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,116,4,4,4,4,0,0,2,0,8,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,425,12,13,14,14,1,0,11,0,21,0,0,0,10,10,4,3
0000103_02964_d_0000030,10,<50,301,9,9,9,9,0,0,10,0,19,0,0,0,0,0,10,9
0000103_03349_d_0000031,4,<50,72,4,4,4,4,0,0,4,0,5,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,40,3,3,3,3,0,0,3,0,6,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,110,4,4,4,4,0,0,5,0,6,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,170,2,2,2,2,0,0,3,0,5,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,25,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,983,31,33,39,42,9,0,17,0,34,0,56,29,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,51,63,68,71,8,0,36,0,89,0,67,52,11,11,0,0
0000115_01031_d_0000082,63,50-100,1000,46,54,58,62,8,0,47,0,106,0,52,44,11,10,0,0
0000116_00351_d_0000083,74,50-100,1000,54,62,67,69,7,0,45,0,106,0,65,53,9,9,0,0
0000116_00819_d_0000084,36,<50,1000,28,32,33,35,3,0,25,0,51,0,24,21,12,11,0,0
0000116_01059_d_0000085,70,50-100,1000,49,61,65,65,4,1,41,0,91,0,59,51,11,10,0,0
0000116_01338_d_0000086,54,50-100,1000,33,41,45,47,6,0,26,0,49,0,47,34,5,5,2,2
0000117_00112_d_0000087,129,100-150,1000,75,109,120,124,15,1,56,0,107,0,112,93,13,12,4,4
0000117_01326_d_0000088,62,50-100,1000,42,55,59,59,4,0,54,0,138,0,34,30,27,24,1,1
0000117_01731_d_0000089,47,<50,1000,43,45,45,45,0,0,51,0,90,0,27,25,15,15,5,5
0000117_02708_d_0000090,100,100-150,1000,59,87,93,94,7,0,78,0,154,0,64,54,36,33,0,0
0000117_03096_d_0000091,24,<50,1000,23,24,24,24,0,0,78,0,184,0,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,1000,98,161,170,172,11,1,137,0,230,0,73,48,113,113,0,0
0000153_00001_d_0000001,55,50-100,1000,40,49,50,51,2,0,35,0,81,0,47,42,8,7,0,0
0000153_00401_d_0000001,59,50-100,1000,45,52,53,54,2,1,47,0,101,0,47,40,11,11,1,1
0000153_00801_d_0000001,49,<50,1000,38,44,44,44,0,0,37,0,78,0,40,35,9,9,0,0
