image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000086_01443_d_0000004,107,100-150,1000,38,48,52,56,8,0,96,0,188,0,96,42,11,6,0,0
0000086_01954_d_0000005,173,150-300,1000,32,44,49,52,8,0,102,0,171,0,163,39,10,5,0,0
0000103_00180_d_0000026,1,<50,74,1,1,1,1,0,0,1,0,2,0,0,0,0,0,1,1
0000103_00502_d_0000027,3,<50,28,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
0000103_01734_d_0000028,4,<50,80,4,4,4,4,0,0,5,0,9,0,0,0,0,0,4,4
0000103_02544_d_0000029,14,<50,399,6,10,10,10,0,0,9,0,16,0,0,0,10,7,4,3
0000103_02964_d_0000030,10,<50,312,8,10,10,10,0,0,10,0,19,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,106,2,2,2,2,0,0,4,0,4,0,0,0,0,0,4,2
0000103_03738_d_0000032,3,<50,58,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,129,1,1,1,1,0,0,6,0,8,0,0,0,4,1,0,0
0000103_04513_d_0000034,2,<50,156,2,2,2,2,0,0,3,0,3,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,118,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,1000,21,24,26,26,2,0,23,0,49,0,56,20,5,4,0,0
0000115_00796_d_0000081,78,50-100,1000,31,43,46,49,6,0,39,0,105,0,67,34,11,9,0,0
0000115_01031_d_0000082,63,50-100,1000,25,33,36,38,5,0,47,0,129,0,52,23,11,10,0,0
0000116_00351_d_0000083,74,50-100,1000,36,43,45,48,5,0,52,0,108,0,65,34,9,9,0,0
0000116_00819_d_0000084,36,<50,1000,16,21,25,28,7,0,23,0,63,0,24,12,12,9,0,0
0000116_01059_d_0000085,70,50-100,1000,27,35,36,38,3,0,40,0,100,0,59,28,11,7,0,0
0000116_01338_d_0000086,54,50-100,1000,19,29,30,30,1,0,27,0,59,0,47,22,5,5,2,2
0000117_00112_d_0000087,129,100-150,1000,43,61,68,69,8,0,73,0,144,0,112,47,13,10,4,4
0000117_01326_d_0000088,62,50-100,1000,28,28,30,33,5,0,57,0,126,0,34,10,27,17,1,1
0000117_01731_d_0000089,47,<50,1000,24,25,28,29,4,0,55,0,90,0,27,11,15,9,5,5
0000117_02708_d_0000090,100,100-150,1000,25,32,34,34,2,0,77,0,181,0,64,18,36,14,0,0
0000117_03096_d_0000091,24,<50,1000,11,14,14,14,0,0,81,0,208,0,8,3,14,9,2,2
0000129_02411_d_0000138,186,150-300,1000,96,119,124,127,8,0,138,0,215,0,73,17,113,102,0,0
0000153_00001_d_0000001,55,50-100,1000,15,21,24,24,3,0,30,0,70,0,47,15,8,6,0,0
0000153_00401_d_0000001,59,50-100,1000,26,31,32,34,3,0,43,0,95,0,47,21,11,9,1,1
0000153_00801_d_0000001,49,<50,1000,19,22,25,27,5,0,34,0,67,0,40,15,9,7,0,0
0000153_01201_d_0000001,59,50-100,1000,17,18,19,20,2,0,34,0,79,0,57,17,2,1,0,0
0000153_01601_d_0000001,63,50-100,1000,16,21,22,25,4,0,34,0,85,0,57,18,5,2,1,1
0000153_01801_d_0000001,55,50-100,1000,16,17,17,17,0,0,37,0,75,0,52,14,3,3,0,0
0000154_00001_d_0000001,51,50-100,1000,21,24,25,27,3,0,34,0,86,0,43,18,8,6,0,0
0000154_00401_d_0000001,60,50-100,1000,26,29,31,31,2,0,46,0,82,0,51,22,9,7,0,0
0000154_00801_d_0000001,72,50-100,1000,19,23,23,24,1,1,36,0,86,0,67,20,5,3,0,0
0000154_01201_d_0000001,81,50-100,1000,34,37,39,40,3,0,42,0,97,0,75,34,6,3,0,0
0000154_01601_d_0000001,101,100-150,1000,28,36,41,42,6,0,49,0,137,0,86,26,15,10,0,0
0000154_02001_d_0000001,83,50-100,1000,32,34,39,40,6,0,67,0,150,0,74,26,8,7,1,1
0000155_00001_d_0000001,97,50-100,1000,41,51,54,58,7,1,56,0,117,0,73,33,23,17,1,1
0000155_00401_d_0000001,122,100-150,1000,36,48,51,53,5,0,76,0,152,0,106,36,16,12,0,0
0000155_00801_d_0000001,106,100-150,1000,40,53,58,61,8,0,72,0,177,0,86,38,20,15,0,0
0000155_01201_d_0000001,94,50-100,1000,26,30,35,39,9,0,62,0,138,0,82,20,12,10,0,0
0000155_01601_d_0000001,73,50-100,1000,35,40,43,44,4,0,76,0,149,0,63,30,10,10,0,0
0000155_01871_d_0000001,55,50-100,1000,30,32,36,36,4,0,51,0,105,0,46,29,9,3,0,0
0000162_00001_d_0000001,34,<50,1000,21,23,23,24,1,0,36,0,60,0,26,15,7,7,1,1
0000162_00401_d_0000001,45,<50,1000,27,29,30,30,1,1,42,0,97,0,39,23,5,5,1,1
0000162_00801_d_0000001,30,<50,1000,17,18,19,19,1,0,21,0,55,0,25,14,3,2,2,2
0000162_01058_d_0000001,57,50-100,1000,21,25,29,31,6,0,30,0,67,0,48,20,9,5,0,0
0000163_00001_d_0000001,69,50-100,1000,27,35,35,38,3,0,42,0,81,0,58,28,9,6,2,1
0000163_00359_d_0000001,54,50-100,1000,20,22,22,23,1,0,28,0,55,0,49,19,5,3,0,0
0000165_04325_d_0000105,29,<50,1000,14,16,17,18,2,0,25,0,50,0,14,6,12,8,3,2
0000166_00558_d_0000118,71,50-100,1000,22,32,34,36,4,0,35,0,67,0,19,2,39,21,13,9
0000193_00000_d_0000103,63,50-100,1000,28,34,35,36,2,0,47,0,96,0,54,25,9,9,0,0
0000193_01497_d_0000111,87,50-100,1000,32,39,44,50,11,0,96,0,188,0,72,30,15,9,0,0
0000193_01705_d_0000112,134,100-150,1000,43,57,65,69,12,0,89,0,184,0,117,42,17,15,0,0
0000193_01876_d_0000113,107,100-150,1000,43,54,57,60,6,0,59,0,142,0,97,44,10,10,0,0
0000193_02029_d_0000114,93,50-100,1000,38,45,52,54,9,0,56,0,129,0,82,36,11,9,0,0
0000193_02212_d_0000115,78,50-100,1000,23,29,33,36,7,0,52,0,112,0,73,26,5,3,0,0
0000193_02416_d_0000116,50,50-100,1000,9,14,16,17,3,0,28,0,70,0,47,12,3,2,0,0
0000193_02606_d_0000117,49,<50,1000,18,21,22,23,2,0,29,0,69,0,48,21,1,0,0,0
0000193_02725_d_0000118,39,<50,1000,20,24,25,25,1,0,32,0,70,0,38,23,1,1,0,0
0000194_00000_d_0000119,54,50-100,1000,21,25,26,27,2,0,35,0,79,0,51,23,3,2,0,0
0000194_00200_d_0000120,76,50-100,1000,26,33,37,38,5,0,60,0,151,0,67,27,9,6,0,0
0000194_00399_d_0000121,143,100-150,1000,53,69,75,79,10,0,109,0,210,0,137,63,6,6,0,0
0000194_00625_d_0000122,83,50-100,1000,49,60,62,63,3,0,68,0,135,0,73,51,10,9,0,0
0000194_00800_d_0000123,54,50-100,1000,27,30,30,31,1,0,40,0,74,0,41,20,13,10,0,0
0000194_00998_d_0000124,42,<50,1000,17,21,22,23,2,0,32,0,63,0,37,16,5,5,0,0
0000194_01192_d_0000125,23,<50,1000,7,7,9,11,4,0,32,0,61,0,18,3,5,4,0,0
0000196_04512_d_0000144,69,50-100,1000,23,25,28,28,3,0,36,0,88,0,62,20,7,5,0,0
0000199_01269_d_0000166,16,<50,180,12,12,12,12,0,0,12,0,17,0,7,3,8,8,1,1
0000213_02500_d_0000240,94,50-100,1000,35,45,46,47,2,0,46,0,143,0,85,37,9,8,0,0
0000213_02965_d_0000241,94,50-100,1000,39,45,47,50,5,0,79,0,161,0,62,19,29,23,3,3
0000213_03478_d_0000242,115,100-150,1000,68,78,78,79,1,0,94,0,181,0,70,35,40,38,5,5
0000213_03920_d_0000243,164,150-300,1000,66,84,93,96,12,1,111,0,208,0,98,34,60,44,6,6
0000213_04405_d_0000244,106,100-150,1000,46,52,58,61,9,0,75,0,175,0,62,17,38,29,6,6
0000213_04998_d_0000245,137,100-150,1000,54,68,73,75,7,0,120,0,255,0,94,36,38,27,5,5
0000213_05340_d_0000246,138,100-150,1000,67,81,87,91,10,0,104,0,196,0,95,42,40,36,3,3
0000213_05745_d_0000247,101,100-150,1000,58,66,71,74,8,0,88,0,155,0,55,26,43,37,3,3
0000215_00000_d_0000256,157,150-300,1000,46,59,64,69,10,0,90,0,212,0,132,36,24,22,1,1
0000215_00447_d_0000257,53,50-100,989,45,46,46,47,1,0,58,0,83,0,17,10,35,35,1,1
0000215_00909_d_0000258,93,50-100,1000,58,63,65,66,3,0,81,0,133,0,54,30,37,31,2,2
0000215_01395_d_0000259,56,50-100,1000,50,51,52,52,1,0,60,0,95,0,23,20,27,25,6,6
0000215_01869_d_0000260,78,50-100,1000,48,52,57,57,5,0,68,0,132,0,50,26,24,22,4,4
0000215_02319_d_0000261,107,100-150,1000,50,54,58,58,4,0,55,0,132,0,73,25,32,27,2,2
0000215_02667_d_0000262,83,50-100,1000,47,58,63,64,6,0,92,0,168,0,48,26,35,32,0,0
0000215_02932_d_0000263,48,<50,974,32,34,35,36,2,0,41,0,63,0,18,10,27,21,3,3
0000215_03226_d_0000264,23,<50,593,19,20,21,21,1,0,29,0,41,0,12,10,10,9,1,1
0000216_00520_d_0000001,109,100-150,1000,58,67,68,68,1,0,86,0,139,0,78,40,31,27,0,0
0000220_01242_d_0000004,37,<50,886,19,22,23,23,1,0,29,0,51,0,25,13,10,7,2,2
0000223_01802_d_0000005,64,50-100,1000,38,41,41,42,1,0,49,0,84,0,41,20,23,21,0,0
0000237_00001_d_0000001,15,<50,738,7,8,9,10,2,0,6,0,9,0,13,6,2,2,0,0
0000242_00001_d_0000001,42,<50,1000,22,24,24,25,1,0,30,0,69,0,28,17,13,6,1,1
0000242_00500_d_0000002,53,50-100,1000,27,28,29,32,4,0,33,0,74,0,41,19,12,9,0,0
0000242_00627_d_0000003,45,<50,1000,24,25,27,27,2,0,33,0,63,0,38,19,6,5,1,1
0000242_00843_d_0000004,2,<50,48,2,2,2,2,0,0,2,0,4,0,0,0,0,0,2,2
0000242_00963_d_0000005,13,<50,596,7,9,9,9,0,0,10,0,21,0,5,2,5,5,3,2
0000242_01139_d_0000006,72,50-100,1000,27,37,40,42,5,0,39,0,115,0,65,31,7,6,0,0
0000242_01475_d_0000007,65,50-100,1000,44,48,48,49,1,0,59,0,98,0,45,28,18,18,2,2
0000242_01912_d_0000008,50,50-100,1000,25,26,27,27,1,0,26,0,53,0,49,25,1,1,0,0
0000242_02400_d_0000009,34,<50,594,28,29,30,30,1,0,38,0,60,0,29,24,5,5,0,0
0000242_02762_d_0000010,33,<50,700,21,22,24,24,2,0,33,0,42,0,24,13,9,9,0,0
0000242_03199_d_0000011,9,<50,291,7,7,7,7,0,0,4,0,9,0,6,5,3,2,0,0
0000242_03668_d_0000012,41,<50,1000,26,27,28,28,1,0,32,0,55,0,29,15,11,11,1,1
0000242_04116_d_0000013,8,<50,320,7,7,7,7,0,0,5,0,7,0,5,4,3,3,0,0
0000242_04600_d_0000014,29,<50,1000,25,26,26,26,0,0,36,0,60,0,14,11,15,15,0,0
0000242_05059_d_0000015,37,<50,1000,14,17,17,17,0,0,20,0,48,0,36,16,1,1,0,0
0000242_05570_d_0000016,32,<50,967,18,19,19,19,0,0,22,0,50,0,30,17,2,2,0,0
0000242_06010_d_0000017,41,<50,707,14,15,16,16,1,0,13,0,37,0,40,14,1,1,0,0
0000242_06452_d_0000018,12,<50,517,10,11,11,11,0,0,9,0,22,0,10,9,2,2,0,0
0000244_00001_d_0000001,46,<50,1000,26,28,28,28,0,0,35,0,59,0,39,21,7,7,0,0
0000244_00500_d_0000002,32,<50,1000,17,19,19,19,0,0,27,0,62,0,28,15,4,4,0,0
0000244_01000_d_0000003,122,100-150,1000,28,31,32,35,4,0,51,0,121,0,114,24,8,7,0,0
0000244_01500_d_0000004,96,50-100,1000,43,48,51,55,7,0,60,0,142,0,92,46,4,2,0,0
0000244_02000_d_0000005,129,100-150,1000,44,51,58,61,10,0,63,0,140,0,122,46,7,5,0,0
0000244_02500_d_0000006,113,100-150,1000,36,46,48,49,3,0,68,0,147,0,102,39,11,7,0,0
0000244_03000_d_0000007,44,<50,1000,22,25,26,26,1,0,28,0,76,0,39,20,5,5,0,0
0000244_03500_d_0000008,146,100-150,1000,40,50,58,59,9,1,55,0,150,0,129,41,17,9,0,0
0000244_04000_d_0000009,56,50-100,1000,23,28,30,32,4,0,74,0,180,0,41,20,13,8,2,0
0000244_04400_d_0000010,101,100-150,1000,46,65,68,69,4,0,65,0,138,0,78,48,22,17,1,0
0000244_04900_d_0000011,106,100-150,1000,67,78,80,83,5,0,93,0,154,0,73,45,33,33,0,0
0000244_05400_d_0000012,90,50-100,1000,49,56,59,60,4,0,69,0,148,0,78,44,12,12,0,0
0000244_05900_d_0000013,66,50-100,1000,30,30,35,36,6,0,46,0,79,0,65,29,1,1,0,0
0000244_06388_d_0000014,46,<50,1000,16,16,17,17,1,0,39,0,84,0,46,16,0,0,0,0
0000249_00001_d_0000001,80,50-100,1000,31,33,33,33,0,0,44,0,90,0,72,25,8,8,0,0
0000249_00235_d_0000002,85,50-100,1000,41,47,47,47,0,0,58,0,97,0,71,34,14,13,0,0
0000249_00603_d_0000003,48,<50,968,29,30,30,30,0,0,28,0,46,0,45,27,3,3,0,0
0000249_01100_d_0000004,27,<50,1000,19,19,19,19,0,0,26,0,51,0,23,15,4,4,0,0
0000249_01514_d_0000005,51,50-100,1000,33,36,37,38,2,0,41,0,70,0,36,21,15,15,0,0
0000249_01635_d_0000006,80,50-100,1000,30,31,32,34,3,0,42,0,86,0,71,23,9,8,0,0
0000249_02073_d_0000007,67,50-100,1000,21,25,25,25,0,0,50,0,81,0,61,19,6,6,0,0
0000249_02468_d_0000008,18,<50,1000,7,7,9,9,2,0,19,0,43,0,11,4,7,3,0,0
0000249_02900_d_0000009,101,100-150,1000,47,57,59,60,3,0,71,0,131,0,89,46,12,11,0,0
0000249_03400_d_0000010,92,50-100,1000,52,61,64,65,4,0,83,0,175,0,79,48,13,13,0,0
0000249_03900_d_0000011,85,50-100,1000,38,45,48,49,4,0,45,0,90,0,73,35,12,10,0,0
0000253_00001_d_0000001,106,100-150,1000,68,77,78,80,3,0,98,0,148,0,106,77,0,0,0,0
0000256_00715_d_0000019,90,50-100,1000,48,54,54,55,1,0,73,0,123,0,76,42,11,9,3,3
0000256_02173_d_0000030,47,<50,1000,20,24,28,28,4,0,27,0,59,0,28,14,16,7,3,3
0000263_02401_d_0000179,17,<50,190,14,15,15,15,0,0,15,0,23,0,6,4,6,6,5,5
0000269_00001_d_0000348,128,100-150,1000,55,63,64,65,2,0,80,0,134,0,106,42,21,20,1,1
0000269_00201_d_0000349,47,<50,1000,36,39,40,40,1,0,80,0,121,0,27,19,20,20,0,0
0000269_00601_d_0000351,93,50-100,1000,64,71,71,71,0,0,81,0,137,0,72,51,21,20,0,0
0000271_00001_d_0000374,58,50-100,1000,32,36,37,40,4,0,46,0,81,0,39,20,17,14,2,2
0000271_00201_d_0000375,75,50-100,1000,43,50,51,54,4,0,73,0,129,0,48,29,27,21,0,0
0000271_00401_d_0000376,25,<50,788,9,9,10,10,1,0,17,0,33,0,16,5,8,3,1,1
0000271_00601_d_0000377,79,50-100,1000,43,50,54,54,4,0,74,0,137,0,61,35,15,13,3,2
0000271_00801_d_0000378,63,50-100,1000,30,33,33,34,1,0,73,0,147,0,48,20,15,13,0,0
0000271_01201_d_0000379,59,50-100,1000,30,34,36,37,3,0,57,0,108,0,36,15,21,17,2,2
0000271_01401_d_0000380,55,50-100,1000,38,38,39,39,1,0,48,0,92,0,36,20,17,17,2,1
0000271_01601_d_0000381,48,<50,1000,28,32,33,33,1,0,39,0,65,0,34,22,13,9,1,1
0000271_02401_d_0000385,84,50-100,1000,37,38,47,47,9,0,45,0,98,0,58,20,25,18,1,0
0000271_02601_d_0000386,79,50-100,1000,45,49,50,51,2,0,54,0,105,0,51,24,23,20,5,5
0000271_03001_d_0000387,56,50-100,1000,29,33,35,35,2,0,56,0,98,0,44,23,10,8,2,2
0000271_03801_d_0000391,57,50-100,1000,33,35,36,37,2,0,52,0,91,0,41,19,16,16,0,0
0000271_04401_d_0000394,86,50-100,1000,44,52,54,58,6,0,57,0,116,0,60,34,24,17,2,1
0000271_04801_d_0000396,50,50-100,1000,28,31,33,33,2,0,42,0,76,0,33,17,17,14,0,0
0000271_05001_d_0000397,90,50-100,1000,41,50,52,53,3,0,54,0,112,0,78,42,11,8,1,0
0000271_05201_d_0000398,70,50-100,1000,42,53,57,57,4,0,67,0,118,0,44,33,24,18,2,2
0000271_05401_d_0000399,71,50-100,1000,41,42,42,43,1,0,63,0,117,0,50,23,17,15,4,4
0000271_05601_d_0000400,86,50-100,1000,48,53,56,59,6,0,70,0,124,0,67,36,17,15,2,2
0000271_05801_d_0000401,104,100-150,1000,63,71,74,77,6,0,97,0,146,0,64,44,36,24,4,3
0000271_06001_d_0000402,158,150-300,1000,78,103,111,115,12,0,122,0,200,0,106,56,46,41,6,6
0000271_06201_d_0000403,142,100-150,1000,66,96,101,103,7,0,128,0,209,0,87,49,53,45,2,2
0000271_06401_d_0000404,128,100-150,1000,74,82,88,91,9,0,109,0,165,0,74,38,51,41,3,3
0000271_06601_d_0000405,105,100-150,1000,82,85,87,88,3,0,112,0,154,0,42,26,59,55,4,4
0000271_06801_d_0000406,95,50-100,1000,65,69,69,69,0,0,94,0,127,0,45,21,46,44,4,4
0000271_07001_d_0000407,58,50-100,1000,30,31,32,33,2,0,45,0,96,0,42,15,11,11,5,5
0000271_07201_d_0000408,25,<50,918,17,17,18,18,1,0,20,0,49,0,22,14,2,2,1,1
0000271_07401_d_0000409,42,<50,988,27,28,29,29,1,0,32,0,47,0,17,6,22,19,3,3
0000273_05601_d_0000466,32,<50,1000,17,18,20,21,3,0,27,0,49,0,7,3,23,13,2,2
