image,n_gt,bucket,cache_depth,matched@100,matched@300,matched@600,matched@1000,tail_tp,tail_tp_dupsus,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
P0060__1024__1648___1229,42,<50,109,28,29,29,29,0,0,33,0,40,0,15,2,27,27,0,0
P0060__1024__1648___824,43,<50,173,24,24,24,24,0,0,27,0,31,0,18,0,25,24,0,0
P0060__1024__2472___0,36,<50,62,13,13,13,13,0,0,18,0,22,0,25,2,11,11,0,0
P0060__1024__2472___1229,19,<50,115,11,11,11,11,0,0,28,0,33,0,8,0,11,11,0,0
P0060__1024__2472___824,32,<50,123,14,15,15,15,0,0,25,0,29,0,18,1,14,14,0,0
P0060__1024__2475___0,36,<50,67,14,14,14,14,0,0,18,0,21,0,25,3,11,11,0,0
P0060__1024__2475___1229,19,<50,106,11,11,11,11,0,0,27,0,31,0,8,0,11,11,0,0
P0060__1024__2475___824,32,<50,122,15,16,16,16,0,0,25,0,29,0,18,2,14,14,0,0
P0060__1024__824___0,24,<50,131,11,12,12,12,0,0,16,0,19,0,14,2,10,10,0,0
P0060__1024__824___1229,31,<50,98,18,18,18,18,0,0,20,0,24,0,15,2,16,16,0,0
P0060__1024__824___824,44,<50,141,21,21,21,21,0,0,28,0,31,0,22,0,22,21,0,0
P0075__1024__0___0,2,<50,14,0,0,0,0,0,0,2,0,3,0,0,0,1,0,1,0
P0079__1024__0___0,2,<50,15,0,0,0,0,0,0,4,0,4,0,0,0,1,0,1,0
P0081__1024__0___0,1,<50,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
P0086__1024__0___0,84,50-100,231,84,84,84,84,0,0,93,0,97,0,70,70,13,13,1,1
P0086__1024__0___459,66,50-100,188,66,66,66,66,0,0,77,0,82,0,51,51,13,13,2,2
P0086__1024__133___0,87,50-100,203,87,87,87,87,0,0,95,0,101,0,69,69,17,17,1,1
P0086__1024__133___459,68,50-100,167,68,68,68,68,0,0,77,0,84,0,50,50,17,17,1,1
P0104__1024__0___0,24,<50,90,2,2,2,2,0,0,30,0,32,0,19,0,3,0,2,2
P0104__1024__0___163,29,<50,128,1,1,1,1,0,0,33,0,38,0,25,0,3,0,1,1
P0110__1024__1540___0,3,<50,22,3,3,3,3,0,0,1,0,2,0,0,0,1,1,2,2
P0110__1024__1540___1046,5,<50,65,2,2,2,2,0,0,2,0,2,0,2,0,0,0,3,2
P0110__1024__1540___824,5,<50,54,2,2,2,2,0,0,0,0,1,0,2,0,0,0,3,2
P0110__1024__824___0,1,<50,16,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0
P0110__1024__824___1046,3,<50,31,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,2
P0110__1024__824___824,3,<50,22,2,2,2,2,0,0,0,0,0,0,0,0,0,0,3,2
P0117__1024__0___0,8,<50,18,5,5,5,5,0,0,0,0,1,0,6,3,1,1,1,1
P0117__1024__0___138,11,<50,30,5,5,5,5,0,0,0,0,0,0,9,3,1,1,1,1
P0117__1024__345___0,11,<50,40,4,4,4,4,0,0,1,0,1,0,9,2,1,1,1,1
P0117__1024__345___138,15,<50,30,6,6,6,6,0,0,0,0,0,0,13,4,1,1,1,1
P0123__1024__0___0,105,100-150,324,3,4,4,4,0,0,56,0,96,0,94,2,0,0,11,2
P0123__1024__0___11,104,100-150,369,3,4,5,5,1,0,66,0,112,0,93,2,0,0,11,2
P0128__1024__0___0,46,<50,374,37,41,41,41,0,0,47,0,64,0,17,14,20,19,9,8
P0128__1024__0___824,29,<50,188,21,26,26,26,0,0,5,0,17,0,2,2,13,11,14,13
P0128__1024__0___994,16,<50,164,16,16,16,16,0,0,6,0,13,0,2,2,4,4,10,10
P0128__1024__633___0,4,<50,365,0,0,0,0,0,0,49,0,81,0,0,0,4,0,0,0
P0128__1024__633___824,66,50-100,443,51,61,63,63,2,0,54,0,70,0,24,24,28,27,14,10
P0128__1024__633___994,61,50-100,420,51,56,56,56,0,0,62,0,85,0,24,22,24,24,13,10
P0130__1024__0___0,71,50-100,264,0,0,0,0,0,0,7,0,15,0,62,0,8,0,1,0
P0131__1024__0___0,17,<50,297,16,16,16,16,0,0,20,0,27,0,4,4,9,8,4,4
P0131__1024__0___256,25,<50,168,24,24,24,24,0,0,27,0,29,0,7,7,14,13,4,4
P0131__1024__512___0,14,<50,147,14,14,14,14,0,0,16,0,18,0,2,2,10,10,2,2
P0131__1024__512___256,19,<50,117,19,19,19,19,0,0,24,0,25,0,3,3,14,14,2,2
P0143__1024__0___0,3,<50,11,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0
P0146__1024__0___0,7,<50,123,6,6,6,6,0,0,7,0,7,0,0,0,3,3,4,3
P0146__1024__0___824,1,<50,19,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
P0146__1024__0___860,1,<50,17,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1
P0146__1024__1648___0,4,<50,44,4,4,4,4,0,0,3,0,8,0,0,0,0,0,4,4
P0146__1024__1648___824,2,<50,51,2,2,2,2,0,0,0,0,1,0,0,0,0,0,2,2
P0146__1024__1648___860,2,<50,41,2,2,2,2,0,0,0,0,1,0,0,0,0,0,2,2
P0146__1024__1667___0,4,<50,47,4,4,4,4,0,0,4,0,5,0,0,0,0,0,4,4
P0146__1024__1667___824,2,<50,49,2,2,2,2,0,0,1,0,2,0,0,0,0,0,2,2
P0146__1024__1667___860,2,<50,46,2,2,2,2,0,0,1,0,1,0,0,0,0,0,2,2
P0146__1024__824___0,2,<50,49,2,2,2,2,0,0,5,0,6,0,0,0,0,0,2,2
P0146__1024__824___824,2,<50,41,2,2,2,2,0,0,3,0,4,0,0,0,0,0,2,2
P0146__1024__824___860,2,<50,33,2,2,2,2,0,0,2,0,4,0,0,0,0,0,2,2
P0150__1024__0___0,2,<50,13,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0
P0161__1024__0___0,1,<50,4,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
P0161__1024__0___824,1,<50,3,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1
P0161__1024__1580___0,5,<50,166,5,5,5,5,0,0,6,0,8,0,0,0,1,1,4,4
P0161__1024__1580___1648,1,<50,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P0161__1024__1580___1690,1,<50,25,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
P0161__1024__1580___824,4,<50,99,3,3,3,3,0,0,4,0,6,0,0,0,0,0,4,3
P0161__1024__824___0,4,<50,322,4,4,4,4,0,0,11,0,26,0,0,0,1,1,3,3
P0161__1024__824___1648,3,<50,14,3,3,3,3,0,0,3,0,3,0,0,0,0,0,3,3
P0161__1024__824___1690,3,<50,15,3,3,3,3,0,0,4,0,5,0,0,0,0,0,3,3
P0161__1024__824___824,8,<50,31,8,8,8,8,0,0,9,0,11,0,0,0,5,5,3,3
P0168__1024__0___0,10,<50,90,10,10,10,10,0,0,12,0,13,0,0,0,0,0,10,10
P0168__1024__0___768,2,<50,27,2,2,2,2,0,0,4,0,4,0,0,0,0,0,2,2
P0168__1024__1280___0,13,<50,95,13,13,13,13,0,0,15,0,17,0,0,0,8,8,5,5
P0168__1024__1280___768,18,<50,130,18,18,18,18,0,0,20,0,23,0,0,0,14,14,4,4
P0168__1024__824___0,17,<50,150,17,17,17,17,0,0,20,0,21,0,0,0,8,8,9,9
P0168__1024__824___768,18,<50,118,17,17,17,17,0,0,22,0,24,0,0,0,14,13,4,4
P0170__1024__0___0,26,<50,117,26,26,26,26,0,0,31,0,34,0,3,3,18,18,5,5
P0170__1024__0___57,36,<50,160,36,36,36,36,0,0,40,0,44,0,7,7,24,24,5,5
P0170__1024__824___0,23,<50,74,23,23,23,23,0,0,25,0,25,0,0,0,15,15,8,8
P0170__1024__824___57,29,<50,147,29,29,29,29,0,0,31,0,33,0,3,3,18,18,8,8
P0170__1024__942___0,19,<50,47,19,19,19,19,0,0,20,0,20,0,0,0,14,14,5,5
P0170__1024__942___57,22,<50,85,22,22,22,22,0,0,26,0,27,0,3,3,14,14,5,5
P0173__1024__0___0,11,<50,66,1,1,1,1,0,0,12,0,15,0,0,0,4,0,7,1
P0175__1024__0___0,11,<50,25,3,3,3,3,0,0,12,0,12,0,0,0,1,1,10,2
P0175__1024__0___38,11,<50,24,3,3,3,3,0,0,11,0,13,0,0,0,1,1,10,2
P0179__1024__0___0,6,<50,14,6,6,6,6,0,0,6,0,6,0,0,0,0,0,6,6
P0179__1024__0___1648,32,<50,186,32,32,32,32,0,0,43,0,48,0,2,2,26,26,4,4
P0179__1024__0___2472,21,<50,131,21,21,21,21,0,0,29,0,36,0,6,6,15,15,0,0
P0179__1024__0___824,12,<50,152,12,12,12,12,0,0,16,0,18,0,0,0,3,3,9,9
P0179__1024__1648___0,1,<50,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0
P0179__1024__1648___1648,16,<50,187,16,16,16,16,0,0,63,0,69,0,2,2,14,14,0,0
P0179__1024__1648___2472,7,<50,58,7,7,7,7,0,0,9,0,11,0,0,0,6,6,1,1
