image,n_gt,bucket,area,size,max_iou_nbr,nbr_count,rank,m300,m1000
0000001_02999_d_0000005,127,100-150,4968.0,medium,0.0,3,0,1,1
0000001_02999_d_0000005,127,100-150,5704.0,medium,0.0,2,4,1,1
0000001_02999_d_0000005,127,100-150,7370.0,medium,0.0,4,1,1,1
0000001_02999_d_0000005,127,100-150,1458.0,medium,0.4952,1,199,1,1
0000001_02999_d_0000005,127,100-150,722.0,small,0.4952,1,59,1,1
0000001_02999_d_0000005,127,100-150,2208.0,medium,0.2977,3,122,1,1
0000001_02999_d_0000005,127,100-150,702.0,small,0.0,0,582,0,1
0000001_02999_d_0000005,127,100-150,1323.0,medium,0.2977,3,175,1,1
0000001_02999_d_0000005,127,100-150,2860.0,medium,0.2149,6,606,0,1
0000001_02999_d_0000005,127,100-150,684.0,small,0.2149,1,-1,0,0
0000001_02999_d_0000005,127,100-150,3660.0,medium,0.0124,4,-1,0,0
0000001_02999_d_0000005,127,100-150,1716.0,medium,0.0058,1,11,1,1
0000001_02999_d_0000005,127,100-150,2408.0,medium,0.1247,6,470,0,1
