image,n_gt,bucket,area,size,max_iou_nbr,nbr_count,rank,m300,m1000
0000287_00801_d_0000763,58,50-100,384.0,small,0.4542,4,24,1,1
0000287_00801_d_0000763,58,50-100,408.0,small,0.52,7,74,1,1
0000287_00801_d_0000763,58,50-100,299.0,small,0.4846,2,35,1,1
0000287_00801_d_0000763,58,50-100,98.0,small,0.2593,2,-1,0,0
0000287_00801_d_0000763,58,50-100,720.0,small,0.1645,5,48,1,1
0000287_00801_d_0000763,58,50-100,696.0,small,0.1645,5,33,1,1
0000287_00801_d_0000763,58,50-100,550.0,small,0.2685,6,53,1,1
0000287_00801_d_0000763,58,50-100,552.0,small,0.1978,5,47,1,1
0000287_00801_d_0000763,58,50-100,378.0,small,0.057,5,10,1,1
0000287_00801_d_0000763,58,50-100,252.0,small,0.0,0,13,1,1
0000287_00801_d_0000763,58,50-100,456.0,small,0.057,4,41,1,1
0000287_00801_d_0000763,58,50-100,494.0,small,0.2685,4,37,1,1
0000287_00801_d_0000763,58,50-100,147.0,small,0.0325,1,147,1,1
0000287_00801_d_0000763,58,50-100,726.0,small,0.1828,5,21,1,1
0000287_00801_d_0000763,58,50-100,324.0,small,0.2482,4,144,1,1
0000287_00801_d_0000763,58,50-100,380.0,small,0.2482,5,19,1,1
0000287_00801_d_0000763,58,50-100,357.0,small,0.2235,4,7,1,1
0000287_00801_d_0000763,58,50-100,300.0,small,0.2235,3,84,1,1
0000287_00801_d_0000763,58,50-100,285.0,small,0.0541,2,28,1,1
0000287_00801_d_0000763,58,50-100,255.0,small,0.0,2,11,1,1
0000287_00801_d_0000763,58,50-100,192.0,small,0.3462,2,69,1,1
0000287_00801_d_0000763,58,50-100,88.0,small,0.3462,1,60,1,1
0000287_01001_d_0000764,71,50-100,16974.0,large,0.0,4,1,1,1
0000287_01001_d_0000764,71,50-100,12705.0,large,0.0581,5,3,1,1
0000287_01001_d_0000764,71,50-100,7644.0,medium,0.0581,1,10,1,1
0000287_01001_d_0000764,71,50-100,1176.0,medium,0.1444,1,17,1,1
0000287_01001_d_0000764,71,50-100,3960.0,medium,0.1444,5,5,1,1
0000287_01001_d_0000764,71,50-100,660.0,small,0.2086,4,73,1,1
0000287_01001_d_0000764,71,50-100,285.0,small,0.0976,2,230,1,1
0000287_01001_d_0000764,71,50-100,2584.0,medium,0.2086,6,4,1,1
0000287_01001_d_0000764,71,50-100,330.0,small,0.0668,1,571,0,1
0000287_01001_d_0000764,71,50-100,4940.0,medium,0.0668,11,54,1,1
0000287_01001_d_0000764,71,50-100,7440.0,medium,0.0,8,64,1,1
0000287_01001_d_0000764,71,50-100,480.0,small,0.0833,1,35,1,1
0000287_01001_d_0000764,71,50-100,105.0,small,0.0833,1,-1,0,0
0000287_01001_d_0000764,71,50-100,529.0,small,0.4095,2,56,1,1
0000287_01001_d_0000764,71,50-100,483.0,small,0.4095,2,100,1,1
0000287_01001_d_0000764,71,50-100,675.0,small,0.4088,2,147,1,1
0000287_01001_d_0000764,71,50-100,2240.0,medium,0.0297,4,11,1,1
0000287_01001_d_0000764,71,50-100,1225.0,medium,0.0956,2,21,1,1
0000287_01001_d_0000764,71,50-100,1170.0,medium,0.0956,2,6,1,1
0000287_01001_d_0000764,71,50-100,884.0,small,0.0604,3,13,1,1
0000287_01001_d_0000764,71,50-100,1054.0,medium,0.0,3,23,1,1
0000287_01001_d_0000764,71,50-100,189.0,small,0.4466,1,25,1,1
0000287_01001_d_0000764,71,50-100,190.0,small,0.4466,1,24,1,1
0000287_01001_d_0000764,71,50-100,696.0,small,0.0,3,15,1,1
0000287_01001_d_0000764,71,50-100,696.0,small,0.1654,4,22,1,1
0000287_01001_d_0000764,71,50-100,572.0,small,0.1654,5,16,1,1
0000287_01001_d_0000764,71,50-100,792.0,small,0.2558,9,33,1,1
0000287_01001_d_0000764,71,50-100,396.0,small,0.2558,5,32,1,1
0000287_01001_d_0000764,71,50-100,506.0,small,0.1418,8,26,1,1
0000287_01001_d_0000764,71,50-100,380.0,small,0.1418,9,34,1,1
0000287_01001_d_0000764,71,50-100,798.0,small,0.0397,10,243,1,1
0000287_01001_d_0000764,71,50-100,104.0,small,0.3481,3,137,1,1
0000287_01001_d_0000764,71,50-100,140.0,small,0.3481,4,36,1,1
0000287_01001_d_0000764,71,50-100,361.0,small,0.3521,11,31,1,1
0000287_01001_d_0000764,71,50-100,238.0,small,0.3521,9,104,1,1
0000287_01001_d_0000764,71,50-100,240.0,small,0.2781,10,37,1,1
0000287_01001_d_0000764,71,50-100,420.0,small,0.2565,11,39,1,1
0000287_01001_d_0000764,71,50-100,72.0,small,0.5172,3,58,1,1
0000287_01001_d_0000764,71,50-100,60.0,small,0.5172,1,88,1,1
0000287_01001_d_0000764,71,50-100,39.0,small,0.0376,1,-1,0,0
0000287_01001_d_0000764,71,50-100,44.0,small,0.0,1,-1,0,0
0000287_01001_d_0000764,71,50-100,403.0,small,0.2565,8,110,1,1
0000287_01001_d_0000764,71,50-100,255.0,small,0.0,2,41,1,1
0000287_01001_d_0000764,71,50-100,160.0,small,0.2286,2,74,1,1
0000287_01001_d_0000764,71,50-100,270.0,small,0.2286,2,18,1,1
0000287_01001_d_0000764,71,50-100,171.0,small,0.4561,4,44,1,1
0000287_01001_d_0000764,71,50-100,78.0,small,0.4561,4,53,1,1
0000287_01001_d_0000764,71,50-100,133.0,small,0.5909,4,46,1,1
0000287_01001_d_0000764,71,50-100,105.0,small,0.4375,4,47,1,1
0000287_01001_d_0000764,71,50-100,112.0,small,0.5909,4,50,1,1
0000287_01001_d_0000764,71,50-100,525.0,small,0.0,5,14,1,1
0000287_01001_d_0000764,71,50-100,1122.0,medium,0.0423,2,7,1,1
0000287_01001_d_0000764,71,50-100,465.0,small,0.1225,1,19,1,1
0000287_01001_d_0000764,71,50-100,2009.0,medium,0.1225,5,29,1,1
0000287_01001_d_0000764,71,50-100,2652.0,medium,0.073,6,92,1,1
0000287_01001_d_0000764,71,50-100,1980.0,medium,0.073,6,20,1,1
0000287_01001_d_0000764,71,50-100,2025.0,medium,0.079,5,9,1,1
0000287_01001_d_0000764,71,50-100,2183.0,medium,0.079,3,55,1,1
0000287_01001_d_0000764,71,50-100,4071.0,medium,0.0,0,8,1,1
0000287_01001_d_0000764,71,50-100,4158.0,medium,0.0,3,12,1,1
0000287_01001_d_0000764,71,50-100,5760.0,medium,0.0,2,2,1,1
0000287_01001_d_0000764,71,50-100,12700.0,large,0.0,2,0,1,1
0000287_01001_d_0000764,71,50-100,494.0,small,0.0,0,413,0,1
0000287_01001_d_0000764,71,50-100,196.0,small,0.0,0,89,1,1
0000287_01001_d_0000764,71,50-100,156.0,small,0.0,0,252,1,1
0000287_01001_d_0000764,71,50-100,180.0,small,0.0929,2,699,0,1
0000287_01001_d_0000764,71,50-100,176.0,small,0.4887,3,172,1,1
0000287_01001_d_0000764,71,50-100,220.0,small,0.4887,3,116,1,1
0000287_01001_d_0000764,71,50-100,171.0,small,0.0,1,318,0,1
0000287_01001_d_0000764,71,50-100,576.0,small,0.0,1,500,0,1
0000287_01001_d_0000764,71,50-100,544.0,small,0.0,1,255,1,1
0000287_01201_d_0000765,68,50-100,8343.0,medium,0.0,1,13,1,1
0000287_01201_d_0000765,68,50-100,14976.0,large,0.0,5,0,1,1
0000287_01201_d_0000765,68,50-100,9417.0,large,0.0,1,12,1,1
0000287_01201_d_0000765,68,50-100,1932.0,medium,0.0,0,14,1,1
0000287_01201_d_0000765,68,50-100,11342.0,large,0.0,3,1,1,1
0000287_01201_d_0000765,68,50-100,2170.0,medium,0.1497,2,29,1,1
0000287_01201_d_0000765,68,50-100,1078.0,medium,0.1497,1,36,1,1
0000287_01201_d_0000765,68,50-100,2021.0,medium,0.0,0,4,1,1
0000287_01201_d_0000765,68,50-100,1596.0,medium,0.0,0,11,1,1
0000287_01201_d_0000765,68,50-100,216.0,small,0.0,0,32,1,1
0000287_01201_d_0000765,68,50-100,638.0,small,0.0,1,99,1,1
0000287_01201_d_0000765,68,50-100,1800.0,medium,0.0,1,15,1,1
0000287_01201_d_0000765,68,50-100,1305.0,medium,0.0,1,27,1,1
0000287_01201_d_0000765,68,50-100,589.0,small,0.0,1,-1,0,0
0000287_01201_d_0000765,68,50-100,731.0,small,0.0,1,26,1,1
0000287_01201_d_0000765,68,50-100,310.0,small,0.0,0,23,1,1
0000287_01201_d_0000765,68,50-100,5022.0,medium,0.0,5,2,1,1
0000287_01201_d_0000765,68,50-100,3328.0,medium,0.0243,4,3,1,1
0000287_01201_d_0000765,68,50-100,250.0,small,0.0,0,211,1,1
0000287_01201_d_0000765,68,50-100,2142.0,medium,0.0324,4,5,1,1
0000287_01201_d_0000765,68,50-100,2640.0,medium,0.0663,5,7,1,1
0000287_01201_d_0000765,68,50-100,1189.0,medium,0.0663,4,25,1,1
0000287_01201_d_0000765,68,50-100,1368.0,medium,0.0636,10,10,1,1
0000287_01201_d_0000765,68,50-100,992.0,small,0.0545,9,16,1,1
0000287_01201_d_0000765,68,50-100,2112.0,medium,0.3034,7,37,1,1
0000287_01201_d_0000765,68,50-100,1484.0,medium,0.3034,10,73,1,1
0000287_01201_d_0000765,68,50-100,340.0,small,0.4335,3,33,1,1
0000287_01201_d_0000765,68,50-100,242.0,small,0.4335,3,49,1,1
0000287_01201_d_0000765,68,50-100,300.0,small,0.3652,5,90,1,1
0000287_01201_d_0000765,68,50-100,171.0,small,0.3652,4,157,1,1
0000287_01201_d_0000765,68,50-100,1023.0,small,0.2032,10,58,1,1
0000287_01201_d_0000765,68,50-100,868.0,small,0.0,6,6,1,1
0000287_01201_d_0000765,68,50-100,624.0,small,0.0,2,8,1,1
0000287_01201_d_0000765,68,50-100,552.0,small,0.2032,5,55,1,1
