bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.8072,0.8797,0.8956,0.8972,0.8654,0.8952,0.0,19.7,0.0,29.7,0.8315,2831,0.9278,1967,0.9827,404
50-100,248,18205,0.6722,0.7991,0.8449,0.8598,0.7877,0.81,0.0,41.0,0.0,63.9,0.746,12514,0.9128,5262,0.9557,429
100-150,81,9483,0.5521,0.7362,0.8016,0.8286,0.7136,0.7581,0.0,52.4,0.0,84.4,0.6694,6758,0.8973,2551,0.9655,174
150-300,27,4935,0.4077,0.6415,0.7398,0.7785,0.609,0.6698,0.0,63.6,0.0,103.3,0.5492,3662,0.9028,1214,1.0,59
>300,3,934,0.2752,0.5128,0.6435,0.6756,0.4673,0.5627,0.0,85.7,0.0,147.0,0.4519,810,0.9098,122,1.0,2
