bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,4004,68860,0.6741,0.7462,0.7718,0.7768,0.7388,0.7536,0.0,17.3,0.0,25.9,0.7496,5403,0.741,21552,0.7484,41905
50-100,282,18642,0.5191,0.6431,0.6957,0.7154,0.6238,0.6629,0.0,29.5,0.0,50.6,0.6194,3124,0.645,9050,0.652,6468
100-150,58,6900,0.3697,0.5136,0.5858,0.6097,0.4653,0.5591,0.0,31.1,0.0,60.3,0.3843,1059,0.5546,3871,0.5025,1970
150-300,25,4769,0.2485,0.3823,0.4552,0.49,0.3231,0.4432,0.0,23.6,0.0,53.9,0.3653,616,0.3703,3000,0.4224,1153
>300,1,310,0.1742,0.3065,0.4065,0.5,0.3065,0.3065,0.0,53.0,0.0,97.0,0.0,2,0.0515,136,0.5116,172
