bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.4656,0.5144,0.5431,0.5511,0.489,0.5406,0.0,14.3,0.0,25.8,0.3479,2831,0.6736,1967,0.9059,404
50-100,248,18205,0.3451,0.4026,0.4318,0.448,0.3897,0.4158,0.0,27.5,0.0,51.5,0.2664,12514,0.6893,5262,0.8578,429
100-150,81,9483,0.2766,0.34,0.376,0.3954,0.3207,0.3609,0.0,34.7,0.0,65.5,0.2215,6758,0.6158,2551,0.8966,174
150-300,27,4935,0.2144,0.2825,0.3246,0.3457,0.2514,0.3156,0.0,42.1,0.0,80.3,0.1633,3662,0.6096,1214,0.9492,59
>300,3,934,0.1424,0.1852,0.2238,0.243,0.164,0.2154,0.0,49.7,0.0,95.7,0.1136,810,0.6475,122,1.0,2
