bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.8253,0.8756,0.8791,0.8791,0.8616,0.8902,0.0,20.5,0.0,29.2,0.8135,2831,0.9426,1967,0.9851,404
50-100,248,18205,0.6956,0.8052,0.8248,0.8257,0.7939,0.8156,0.0,42.8,0.0,64.3,0.747,12514,0.9303,5262,0.9674,429
100-150,81,9483,0.5726,0.758,0.8022,0.8084,0.7355,0.7808,0.0,55.4,0.0,87.4,0.6921,6758,0.9181,2551,0.9713,174
150-300,27,4935,0.4267,0.6802,0.7692,0.7874,0.6432,0.7122,0.0,67.7,0.0,111.4,0.5939,3662,0.925,1214,1.0,59
>300,3,934,0.2752,0.5439,0.6681,0.697,0.4935,0.6077,0.0,89.0,0.0,152.0,0.4852,810,0.9262,122,1.0,2
