bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,350.5,0.7263,0.8003,0.8178,0.8195,0.0961,0.7801,0.8208,100,0.09,0.0,14.8,0.0,25.8,0.698,2831,0.9115,1967,0.9752,404
50-100,248,18205,638.1,0.5632,0.6917,0.7388,0.7475,0.181,0.6783,0.7045,1016,0.0423,0.0,27.2,0.0,51.2,0.6002,12514,0.889,5262,0.9394,429
100-150,81,9483,804.2,0.4573,0.6323,0.708,0.732,0.2711,0.6108,0.6551,946,0.0402,0.0,33.7,0.0,64.5,0.5374,6758,0.8616,2551,0.954,174
150-300,27,4935,908.4,0.3481,0.536,0.6342,0.6809,0.3123,0.5025,0.5677,715,0.035,0.0,38.6,0.0,77.3,0.4208,3662,0.8616,1214,0.9831,59
>=300,3,934,1000.0,0.2473,0.409,0.4989,0.5578,0.2518,,,139,0.036,0.0,45.7,0.0,87.3,0.3284,810,0.9344,122,1.0,2
