bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,431.0,0.8041,0.8766,0.8952,0.8983,0.1759,0.862,0.8928,113,0.0619,0.0,20.2,0.0,31.1,0.828,2831,0.9248,1967,0.9827,404
50-100,248,18205,831.2,0.667,0.7962,0.8425,0.8615,0.3204,0.7846,0.807,1188,0.0976,0.0,41.6,0.0,65.7,0.7421,12514,0.912,5262,0.9534,429
100-150,81,9483,949.9,0.547,0.7314,0.7978,0.8309,0.3704,0.7096,0.7531,943,0.0859,0.0,53.0,0.0,86.3,0.6634,6758,0.8957,2551,0.9655,174
150-300,27,4935,972.5,0.4041,0.6379,0.7374,0.7816,0.3969,0.6065,0.6649,709,0.0663,0.0,64.2,0.0,105.4,0.5431,3662,0.9061,1214,1.0,59
>=300,3,934,1000.0,0.273,0.5086,0.6424,0.6916,0.3724,,,171,0.0409,0.0,85.7,0.0,148.0,0.4469,810,0.9098,122,1.0,2
