bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.7985,0.8558,0.8647,0.8649,0.8393,0.8728,0.0,19.4,0.0,29.5,0.7842,2831,0.9334,1967,0.9802,404
50-100,248,18205,0.6556,0.7751,0.8061,0.8081,0.7637,0.7857,0.0,38.7,0.0,62.1,0.7084,12514,0.919,5262,0.9534,429
100-150,81,9483,0.5358,0.725,0.7815,0.7956,0.7026,0.7479,0.0,47.6,0.0,79.6,0.652,6758,0.902,2551,0.9655,174
150-300,27,4935,0.4018,0.6344,0.7287,0.7591,0.5986,0.6675,0.0,59.3,0.0,104.5,0.5393,3662,0.9044,1214,0.9831,59
>300,3,934,0.2623,0.4882,0.5921,0.6413,0.4448,0.537,0.0,70.0,0.0,120.7,0.4173,810,0.9508,122,1.0,2
