bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.7311,0.8024,0.8178,0.8187,0.7821,0.8233,0.0,14.6,0.0,25.2,0.7008,2831,0.9131,1967,0.9752,404
50-100,248,18205,0.5665,0.6965,0.7403,0.7463,0.6832,0.7089,0.0,26.9,0.0,50.2,0.6061,12514,0.8913,5262,0.9417,429
100-150,81,9483,0.4611,0.6382,0.7119,0.7311,0.616,0.6616,0.0,33.5,0.0,63.7,0.5437,6758,0.8671,2551,0.954,174
150-300,27,4935,0.3499,0.5398,0.6379,0.6782,0.5068,0.5708,0.0,38.5,0.0,76.7,0.4274,3662,0.8575,1214,0.9831,59
>300,3,934,0.2473,0.4079,0.5011,0.5525,0.388,0.4277,0.0,45.7,0.0,86.7,0.3272,810,0.9344,122,1.0,2
