bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,518.9,0.7753,0.8545,0.882,0.8875,0.2268,0.8376,0.8721,172,0.0465,0.0,18.3,0.0,29.6,0.7948,2831,0.9146,1967,0.9802,404
50-100,248,18205,902.1,0.6291,0.7624,0.8165,0.841,0.3308,0.7506,0.7727,1432,0.0922,0.0,35.4,0.0,58.8,0.6969,12514,0.9029,5262,0.9487,429
100-150,81,9483,972.0,0.5147,0.6926,0.7665,0.8061,0.3692,0.6708,0.7159,1076,0.0762,0.0,43.8,0.0,74.7,0.6191,6758,0.8699,2551,0.9483,174
150-300,27,4935,981.9,0.3803,0.5866,0.6863,0.7408,0.373,0.5543,0.616,761,0.0526,0.0,52.5,0.0,94.1,0.4839,3662,0.8773,1214,0.9831,59
>=300,3,934,1000.0,0.2612,0.4593,0.5675,0.6392,0.3327,,,168,0.0714,0.0,61.7,0.0,110.7,0.3901,810,0.9098,122,1.0,2
