bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,4004,68860,0.6686,0.7526,0.7864,0.7942,0.7454,0.7598,0.0,14.6,0.0,22.6,0.7307,5403,0.7473,21552,0.7581,41905
50-100,282,18642,0.5104,0.6419,0.7075,0.7292,0.6235,0.6608,0.0,25.0,0.0,44.0,0.6002,3124,0.6475,9050,0.6541,6468
100-150,58,6900,0.3694,0.5278,0.6114,0.64,0.4807,0.5728,0.0,26.0,0.0,49.6,0.4098,1059,0.5676,3871,0.5132,1970
150-300,25,4769,0.2527,0.3963,0.4865,0.5305,0.3404,0.457,0.0,18.4,0.0,43.0,0.3815,616,0.3863,3000,0.4302,1153
>300,1,310,0.1774,0.3355,0.4258,0.5,0.3355,0.3355,0.0,38.0,0.0,72.0,0.0,2,0.0441,136,0.5698,172
