bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,239.8,0.8206,0.8749,0.8802,0.8802,0.0424,0.8608,0.8896,28,0.0,0.0,21.1,0.0,30.7,0.8135,2831,0.9405,1967,0.9851,404
50-100,248,18205,468.9,0.6914,0.8014,0.8253,0.8272,0.1299,0.7899,0.8118,470,0.0319,0.0,43.5,0.0,66.3,0.7423,12514,0.9285,5262,0.9674,429
100-150,81,9483,652.1,0.5669,0.7505,0.8013,0.8104,0.2401,0.7288,0.7727,568,0.0246,0.0,56.0,0.0,89.6,0.6826,6758,0.9153,2551,0.9713,174
150-300,27,4935,787.7,0.4243,0.6721,0.7643,0.7897,0.3586,0.6349,0.7046,580,0.0379,0.0,68.4,0.0,114.0,0.5822,3662,0.9275,1214,1.0,59
>=300,3,934,951.0,0.2752,0.5353,0.667,0.7163,0.3895,,,169,0.0473,0.0,89.0,0.0,155.3,0.4753,810,0.9262,122,1.0,2
