bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.7807,0.8551,0.8822,0.8864,0.8382,0.8726,0.0,18.0,0.0,28.6,0.7955,2831,0.9151,1967,0.9802,404
50-100,248,18205,0.6332,0.766,0.8187,0.8395,0.7543,0.7762,0.0,35.1,0.0,57.6,0.7018,12514,0.9038,5262,0.9487,429
100-150,81,9483,0.5189,0.696,0.7699,0.8042,0.6736,0.7193,0.0,43.3,0.0,73.2,0.6234,6758,0.871,2551,0.9483,174
150-300,27,4935,0.3842,0.5919,0.6906,0.7382,0.5594,0.6208,0.0,52.4,0.0,92.9,0.4918,3662,0.8748,1214,0.9831,59
>300,3,934,0.2612,0.4636,0.5675,0.6285,0.4101,0.508,0.0,61.7,0.0,110.7,0.3951,810,0.9098,122,1.0,2
