bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,4004,68860,0.675,0.7392,0.7579,0.7605,0.7319,0.7464,0.0,19.1,0.0,27.9,0.755,5403,0.7355,21552,0.7391,41905
50-100,282,18642,0.5294,0.6413,0.6859,0.6983,0.6211,0.6618,0.0,33.8,0.0,56.6,0.6533,3124,0.6352,9050,0.6441,6468
100-150,58,6900,0.3787,0.5307,0.5868,0.6087,0.4791,0.5794,0.0,36.1,0.0,69.3,0.4476,1059,0.5704,3871,0.4975,1970
150-300,25,4769,0.2458,0.3923,0.4605,0.4917,0.3286,0.4611,0.0,27.7,0.0,70.7,0.4773,616,0.3687,3000,0.4085,1153
>300,1,310,0.1613,0.3387,0.4548,0.5419,0.3387,0.3387,0.0,48.0,0.0,97.0,0.0,2,0.0735,136,0.5523,172
