bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,702.1,0.7101,0.7991,0.8354,0.8527,0.2668,0.7786,0.8197,279,0.0824,0.0,14.6,0.0,26.6,0.7181,2831,0.8826,1967,0.9604,404
50-100,248,18205,981.3,0.5521,0.6838,0.7433,0.7783,0.2989,0.6709,0.6964,1721,0.0773,0.0,27.8,0.0,52.5,0.5989,12514,0.8658,5262,0.9254,429
100-150,81,9483,988.9,0.4436,0.6142,0.696,0.7417,0.3305,0.5926,0.6369,1210,0.0661,0.0,34.9,0.0,66.4,0.5249,6758,0.8275,2551,0.954,174
150-300,27,4935,998.5,0.3368,0.5044,0.6041,0.6655,0.3251,0.4743,0.5334,795,0.0604,0.0,42.1,0.0,80.9,0.3971,3662,0.8056,1214,0.9661,59
>=300,3,934,1000.0,0.2388,0.3951,0.4764,0.5471,0.2513,,,142,0.0845,0.0,49.7,0.0,96.3,0.321,810,0.877,122,1.0,2
