bucket,n_images,total_gt,AR@100,AR@300,AR@600,AR@1000,AR@300_ci_lo,AR@300_ci_hi,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,AR300_small,n_gt_small,AR300_medium,n_gt_medium,AR300_large,n_gt_large
<50,189,5202,0.7145,0.8032,0.8374,0.8516,0.7831,0.8235,0.0,14.3,0.0,25.8,0.7231,2831,0.8861,1967,0.9604,404
50-100,248,18205,0.555,0.6869,0.7463,0.7768,0.674,0.6995,0.0,27.5,0.0,51.5,0.6032,12514,0.8664,5262,0.9254,429
100-150,81,9483,0.4465,0.6173,0.7003,0.7403,0.595,0.6399,0.0,34.7,0.0,65.5,0.5281,6758,0.8307,2551,0.954,174
150-300,27,4935,0.3382,0.5086,0.6101,0.6632,0.4781,0.5387,0.0,42.1,0.0,80.3,0.4028,3662,0.8056,1214,0.9661,59
>300,3,934,0.2388,0.3951,0.4797,0.5418,0.3722,0.4084,0.0,49.7,0.0,95.7,0.321,810,0.877,122,1.0,2
