bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,622.6,0.8731,0.925,0.941,0.9466,0.288,0.9137,0.9365,112,0.0179,0.0,24.2,0.0,41.6,0.8923,2831,0.9583,1967,0.9926,404
50-100,248,18205,993.8,0.7553,0.8741,0.9062,0.924,0.3963,0.8649,0.8825,909,0.0605,0.0,57.4,0.0,111.8,0.8352,12514,0.9588,5262,0.9697,429
100-150,81,9483,1000.0,0.6184,0.8074,0.8646,0.8902,0.4299,0.7887,0.8262,785,0.0548,0.0,84.3,0.0123,168.7,0.7603,6758,0.9204,2551,0.9828,174
150-300,27,4935,1000.0,0.4602,0.7127,0.8091,0.8523,0.4859,0.6758,0.7467,689,0.0726,0.0,120.1,0.1481,253.8,0.6442,3662,0.9053,1214,1.0,59
>=300,3,934,1000.0,0.2976,0.5771,0.7088,0.7741,0.4658,,,184,0.0652,0.0,182.7,1.0,460.3,0.5296,810,0.8852,122,1.0,2
