bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,631.6,0.6203,0.6682,0.6869,0.6961,0.0841,0.6441,0.6918,145,0.0207,0.0,24.2,0.0,42.4,0.5408,2831,0.7931,1967,0.953,404
50-100,248,18205,993.9,0.5081,0.5726,0.5994,0.616,0.1015,0.557,0.5875,789,0.0025,0.0,57.5,0.004,111.6,0.4501,12514,0.8345,5262,0.9371,429
100-150,81,9483,1000.0,0.4228,0.5063,0.5398,0.5609,0.1106,0.4824,0.5316,518,0.0019,0.0,82.8,0.0123,165.5,0.3914,6758,0.7805,2551,0.9483,174
150-300,27,4935,1000.0,0.3232,0.4306,0.4661,0.4958,0.1145,0.3892,0.4715,322,0.0093,0.0,119.1,0.1111,255.1,0.3159,3662,0.7504,1214,0.9661,59
>=300,3,934,1000.0,0.2291,0.3512,0.4015,0.424,0.1122,,,68,0.0147,0.0,182.3,1.0,436.3,0.2864,810,0.7705,122,1.0,2
