bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,347.2,0.8856,0.9221,0.9304,0.9306,0.1091,0.9115,0.9323,44,0.0227,0.0,26.5,0.0,42.6,0.8728,2831,0.9776,1967,0.9975,404
50-100,248,18205,750.1,0.7787,0.8838,0.9055,0.9113,0.2367,0.8751,0.8916,501,0.0439,0.0,64.7,0.004,116.3,0.8418,12514,0.9757,5262,0.9814,429
100-150,81,9483,955.1,0.6418,0.8294,0.8778,0.8949,0.3839,0.8137,0.8456,621,0.0306,0.0,97.2,0.0247,185.3,0.7789,6758,0.9514,2551,1.0,174
150-300,27,4935,992.7,0.4709,0.7358,0.8274,0.8622,0.4784,0.7001,0.7701,624,0.0417,0.0,146.1,0.4074,292.0,0.6666,3662,0.9316,1214,1.0,59
>=300,3,934,1000.0,0.3062,0.6081,0.7388,0.8116,0.5193,,,190,0.0421,0.0,233.0,1.0,506.7,0.5593,810,0.9262,122,1.0,2
