bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,626.1,0.6159,0.6671,0.688,0.6968,0.0892,0.6441,0.6898,155,0.0194,0.0,24.1,0.0,41.9,0.5348,2831,0.7987,1967,0.953,404
50-100,248,18205,994.5,0.5067,0.5711,0.5979,0.6144,0.101,0.5557,0.586,790,0.0038,0.0,56.9,0.004,110.4,0.448,12514,0.8349,5262,0.9254,429
100-150,81,9483,1000.0,0.4171,0.5012,0.5332,0.5526,0.103,0.4763,0.5268,487,0.0021,0.0,81.6,0.0123,166.3,0.3861,6758,0.7762,2551,0.9425,174
150-300,27,4935,1000.0,0.3252,0.4243,0.4661,0.4971,0.1265,0.386,0.4626,359,0.0084,0.0,116.0,0.1111,245.3,0.3091,3662,0.7455,1214,0.9661,59
>=300,3,934,1000.0,0.2313,0.3522,0.4058,0.4293,0.119,,,72,0.0139,0.0,184.7,1.0,441.7,0.2864,810,0.7787,122,1.0,2
