bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,175.9,0.9137,0.9329,0.9333,0.9333,0.006,0.9236,0.942,2,0.0,0.0,27.2,0.0,35.6,0.8926,2831,0.9781,1967,0.995,404
50-100,248,18205,402.0,0.8305,0.9015,0.9089,0.9095,0.0812,0.8935,0.9089,146,0.0342,0.0,66.4,0.0,91.4,0.8646,12514,0.9819,5262,0.993,429
100-150,81,9483,577.5,0.6971,0.8649,0.8873,0.8885,0.1747,0.8495,0.8797,224,0.0402,0.0,97.2,0.0,138.9,0.8255,6758,0.9604,2551,0.9943,174
150-300,27,4935,770.3,0.5037,0.8095,0.8565,0.8659,0.2961,0.7796,0.8371,278,0.0216,0.0,140.9,0.037,211.5,0.7594,3662,0.9522,1214,0.9831,59
>=300,3,934,1000.0,0.3073,0.6938,0.8105,0.834,0.4579,,,131,0.0229,0.0,219.3,0.6667,352.0,0.6568,810,0.9344,122,1.0,2
