bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,631.6,0.8754,0.9264,0.941,0.9454,0.2582,0.914,0.9374,99,0.0202,0.0,24.2,0.0,42.4,0.8933,2831,0.9609,1967,0.9901,404
50-100,248,18205,993.9,0.7567,0.8746,0.9087,0.9238,0.3923,0.8652,0.8833,894,0.0604,0.0,57.5,0.004,111.6,0.8352,12514,0.9603,5262,0.9744,429
100-150,81,9483,1000.0,0.6179,0.8111,0.8678,0.8967,0.4531,0.794,0.829,811,0.0481,0.0,82.8,0.0123,165.5,0.7632,6758,0.9263,2551,0.9828,174
150-300,27,4935,1000.0,0.4563,0.7147,0.8075,0.8588,0.5051,0.6783,0.7478,711,0.0647,0.0,119.1,0.1111,255.1,0.6486,3662,0.9012,1214,0.9831,59
>=300,3,934,1000.0,0.2955,0.5867,0.7088,0.7794,0.4662,,,180,0.0444,0.0,182.3,1.0,436.3,0.5444,810,0.8607,122,1.0,2
