bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,626.1,0.8739,0.9243,0.9385,0.9456,0.2814,0.9128,0.9349,111,0.036,0.0,24.1,0.0,41.9,0.8891,2831,0.9619,1967,0.9876,404
50-100,248,18205,994.5,0.753,0.8718,0.907,0.9236,0.4041,0.8624,0.8805,943,0.0689,0.0,56.9,0.004,110.4,0.8321,12514,0.958,5262,0.9744,429
100-150,81,9483,1000.0,0.6152,0.8064,0.8622,0.889,0.4267,0.7882,0.8243,783,0.046,0.0,81.6,0.0123,166.3,0.7585,6758,0.9208,2551,0.9885,174
150-300,27,4935,1000.0,0.4551,0.7058,0.8053,0.8503,0.4912,0.6702,0.7405,713,0.0659,0.0,116.0,0.1111,245.3,0.639,3662,0.8937,1214,0.9831,59
>=300,3,934,1000.0,0.2944,0.5803,0.7131,0.7762,0.4668,,,183,0.0383,0.0,184.7,1.0,441.7,0.5346,810,0.877,122,1.0,2
