bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,1097,28773,465.9,0.8487,0.892,0.9043,0.9074,0.1426,0.8846,0.8992,445,0.027,0.0,23.8,0.0,35.3,0.8383,15960,0.9571,11091,0.9698,1722
50-100,385,25679,875.2,0.7339,0.8229,0.8507,0.8629,0.2259,0.8082,0.8362,1026,0.0331,0.0,52.3,0.0,83.4,0.7631,17502,0.9504,7639,0.961,538
100-150,77,9194,979.3,0.5767,0.7321,0.7772,0.7997,0.2523,0.691,0.7697,621,0.0596,0.0,83.6,0.0,144.8,0.6775,7168,0.9229,1920,0.9717,106
150-300,44,8942,1000.0,0.3966,0.6114,0.6799,0.7142,0.2645,0.5505,0.6688,919,0.062,0.0,120.1,0.0909,215.8,0.5656,7816,0.927,1082,0.9773,44
>=300,7,2514,1000.0,0.2088,0.329,0.3906,0.4316,0.1529,,,258,0.0,0.0,188.3,0.8571,396.3,0.2954,2370,0.8819,144,,0
