bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,349.6,0.8874,0.9245,0.9316,0.9321,0.1007,0.9135,0.9349,40,0.125,0.0,26.4,0.0,42.1,0.8764,2831,0.9786,1967,0.9975,404
50-100,248,18205,753.0,0.7773,0.8827,0.9063,0.9124,0.2532,0.8739,0.8907,541,0.0314,0.0,65.1,0.0081,117.9,0.8403,12514,0.9755,5262,0.979,429
100-150,81,9483,954.6,0.6362,0.8281,0.8785,0.8941,0.3839,0.8114,0.8452,626,0.0304,0.0,96.7,0.0247,183.6,0.7782,6758,0.9494,2551,0.9885,174
150-300,27,4935,989.2,0.4715,0.7337,0.8205,0.8555,0.4574,0.6972,0.7693,601,0.0399,0.0,139.7,0.2593,279.1,0.6649,3662,0.9292,1214,0.9831,59
>=300,3,934,1000.0,0.3051,0.6039,0.742,0.8105,0.5216,,,193,0.0415,0.0,221.3,1.0,479.7,0.5543,810,0.9262,122,1.0,2
