bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,337.6,0.8866,0.9239,0.9289,0.9295,0.0736,0.9128,0.9348,29,0.1034,0.0,26.7,0.0,42.3,0.8799,2831,0.9725,1967,0.995,404
50-100,248,18205,736.4,0.7758,0.8843,0.9061,0.9112,0.2325,0.8758,0.8924,490,0.0367,0.0,65.6,0.004,117.1,0.843,12514,0.9749,5262,0.9767,429
100-150,81,9483,947.7,0.643,0.8318,0.8776,0.8944,0.3722,0.8139,0.8489,594,0.0303,0.0,97.7,0.0123,184.4,0.7838,6758,0.9479,2551,0.9943,174
150-300,27,4935,988.2,0.4721,0.7382,0.8314,0.8636,0.479,0.7041,0.7725,619,0.0323,0.0,145.8,0.3333,291.6,0.6688,3662,0.9349,1214,1.0,59
>=300,3,934,1000.0,0.2976,0.606,0.7398,0.8062,0.5081,,,187,0.0588,0.0,226.0,1.0,485.3,0.5593,810,0.9098,122,1.0,2
