bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,624.3,0.8758,0.9258,0.9404,0.9464,0.2776,0.9144,0.9362,107,0.0,0.0,24.3,0.0,42.2,0.8933,2831,0.9598,1967,0.9876,404
50-100,248,18205,994.1,0.7557,0.8732,0.9087,0.9235,0.3967,0.8638,0.8815,915,0.0634,0.0,57.2,0.0,111.5,0.8339,12514,0.958,5262,0.979,429
100-150,81,9483,1000.0,0.6169,0.8076,0.8655,0.8921,0.4392,0.7897,0.8258,802,0.0486,0.0,83.7,0.0123,166.7,0.7594,6758,0.9232,2551,0.9828,174
150-300,27,4935,1000.0,0.4555,0.7125,0.813,0.8529,0.4883,0.6752,0.7475,693,0.0693,0.0,119.2,0.1111,257.9,0.6439,3662,0.9061,1214,0.9831,59
>=300,3,934,1000.0,0.2955,0.591,0.7238,0.7848,0.4738,,,181,0.0608,0.0,190.3,1.0,462.7,0.5457,810,0.8852,122,1.0,2
