bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,525.1,0.6661,0.7051,0.722,0.7272,0.0749,0.6822,0.7273,115,0.0,0.0,26.7,0.0,40.4,0.5744,2831,0.8409,1967,0.9604,404
50-100,248,18205,968.1,0.5637,0.6189,0.6471,0.6632,0.1162,0.6024,0.634,806,0.005,0.0,64.7,0.004,105.5,0.5017,12514,0.8708,5262,0.9487,429
100-150,81,9483,998.8,0.4844,0.562,0.5918,0.6121,0.1144,0.5381,0.5883,476,0.0021,0.0,93.5,0.0123,155.5,0.4522,6758,0.8263,2551,0.9483,174
150-300,27,4935,1000.0,0.3824,0.5001,0.5348,0.5595,0.1188,0.461,0.5407,293,0.0102,0.0,136.3,0.0741,237.2,0.3908,3662,0.8072,1214,0.9661,59
>=300,3,934,1000.0,0.257,0.409,0.4486,0.4711,0.1051,,,58,0.0172,0.0,212.7,1.0,418.7,0.3444,810,0.8279,122,1.0,2
