bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,525.1,0.8618,0.9281,0.945,0.9519,0.331,0.918,0.9382,124,0.0242,0.0,26.7,0.0,40.4,0.8986,2831,0.9593,1967,0.9827,404
50-100,248,18205,968.1,0.745,0.8708,0.9104,0.9296,0.4551,0.8608,0.8801,1070,0.0187,0.0,64.7,0.004,105.5,0.8396,12514,0.9386,5262,0.9487,429
100-150,81,9483,998.8,0.613,0.7994,0.8582,0.89,0.4516,0.7808,0.8182,859,0.007,0.0,93.5,0.0123,155.5,0.7576,6758,0.9016,2551,0.9253,174
150-300,27,4935,1000.0,0.4598,0.7218,0.8113,0.8521,0.4684,0.6888,0.7552,643,0.0249,0.0,136.3,0.0741,237.2,0.6625,3662,0.8896,1214,0.9492,59
>=300,3,934,1000.0,0.2934,0.6092,0.7248,0.8019,0.4931,,,180,0.0333,0.0,212.7,1.0,418.7,0.5691,810,0.8689,122,1.0,2
