bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,622.6,0.6169,0.6665,0.6855,0.6943,0.0834,0.6438,0.6909,145,0.0138,0.0,24.2,0.0,41.6,0.5351,2831,0.7956,1967,0.9579,404
50-100,248,18205,993.8,0.5072,0.5695,0.5978,0.6149,0.1055,0.5534,0.5852,826,0.0048,0.0,57.4,0.0,111.8,0.447,12514,0.8311,5262,0.9347,429
100-150,81,9483,1000.0,0.4209,0.4969,0.5331,0.5535,0.1125,0.4715,0.5233,537,0.0019,0.0,84.3,0.0123,168.7,0.3803,6758,0.7758,2551,0.9368,174
150-300,27,4935,1000.0,0.3335,0.4308,0.4699,0.4932,0.1096,0.3907,0.4709,308,0.0,0.0,120.1,0.1481,253.8,0.3138,3662,0.7578,1214,0.9661,59
>=300,3,934,1000.0,0.2291,0.3437,0.394,0.4197,0.1158,,,71,0.0,0.0,182.7,1.0,460.3,0.2728,810,0.8033,122,1.0,2
