bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,615.8,0.871,0.9231,0.941,0.9458,0.2952,0.9116,0.9344,118,0.0678,0.0,24.3,0.0,41.1,0.8887,2831,0.9593,1967,0.9876,404
50-100,248,18205,993.1,0.7549,0.8748,0.909,0.9235,0.389,0.866,0.8833,887,0.0564,0.0,57.1,0.0,110.5,0.8361,12514,0.959,5262,0.972,429
100-150,81,9483,1000.0,0.6176,0.8078,0.8664,0.8925,0.4407,0.79,0.8266,804,0.046,0.0,83.3,0.0123,166.2,0.7591,6758,0.9243,2551,0.9885,174
150-300,27,4935,1000.0,0.4575,0.7117,0.8055,0.8533,0.4912,0.6747,0.7456,699,0.0687,0.0,118.3,0.1481,247.4,0.6434,3662,0.9044,1214,0.9831,59
>=300,3,934,1000.0,0.2966,0.5931,0.7173,0.7741,0.4448,,,169,0.0947,0.0,179.3,1.0,436.3,0.5469,810,0.8934,122,1.0,2
