bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,2781,21643,73.9,0.8057,0.8121,0.8125,0.8125,0.0021,0.7904,0.8334,7,0.0,0.0,8.8,0.0,11.3,0.7202,4699,0.826,11356,0.8613,5588
50-100,170,11488,320.4,0.8386,0.8728,0.8767,0.8768,0.0314,0.827,0.9163,46,0.0217,0.0,73.4,0.0,86.4,0.8196,3375,0.8972,7629,0.8595,484
100-150,48,5568,456.0,0.5772,0.7114,0.7184,0.7195,0.0281,0.5978,0.8212,45,0.0,0.0,118.9,0.0,138.5,0.6864,2739,0.7369,2695,0.709,134
150-300,52,10423,601.9,0.4469,0.8815,0.9035,0.9047,0.1958,0.8119,0.9447,242,0.0041,0.0962,202.6,0.1346,232.5,0.8944,5635,0.8679,4625,0.8221,163
>=300,15,6682,890.1,0.2243,0.6615,0.9674,0.9901,0.9708,,,2196,0.0005,0.9333,491.6,1.0,541.6,0.6669,4569,0.6617,2063,0.16,50
