bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,628.7,0.6276,0.673,0.6949,0.7034,0.093,0.6504,0.696,158,0.0063,0.0,24.2,0.0,41.3,0.5468,2831,0.7951,1967,0.9629,404
50-100,248,18205,995.6,0.5067,0.569,0.5969,0.6146,0.1058,0.5531,0.5841,830,0.0048,0.0,57.2,0.004,111.2,0.4453,12514,0.8331,5262,0.9371,429
100-150,81,9483,1000.0,0.4174,0.4959,0.5341,0.5543,0.1159,0.4707,0.5227,553,0.0054,0.0,84.1,0.0123,169.7,0.3773,6758,0.7797,2551,0.9425,174
150-300,27,4935,1000.0,0.3271,0.427,0.4683,0.4934,0.1159,0.3869,0.4671,328,0.003,0.0,119.4,0.2222,255.6,0.3053,3662,0.7669,1214,0.9831,59
>=300,3,934,1000.0,0.2302,0.348,0.4036,0.4315,0.1281,,,78,0.0,0.0,191.3,1.0,469.3,0.2778,810,0.8033,122,1.0,2
