bucket,n_images,total_gt,mean_cache_depth,R@100,R@300,R@600,R@1000,rel_rec,R@300_ci_lo,R@300_ci_hi,tail_tp,tail_dupsus_frac,sat_rate@conf0.25,mean_ndet@conf0.25,sat_rate@conf0.1,mean_ndet@conf0.1,R300_small,n_gt_small,R300_medium,n_gt_medium,R300_large,n_gt_large
<50,189,5202,343.0,0.8833,0.9227,0.9291,0.9296,0.0893,0.912,0.9326,36,0.0556,0.0,26.4,0.0,42.5,0.8767,2831,0.9746,1967,0.9926,404
50-100,248,18205,733.4,0.7779,0.8832,0.9053,0.911,0.238,0.8744,0.8913,507,0.0414,0.0,65.1,0.004,117.0,0.8415,12514,0.9747,5262,0.9767,429
100-150,81,9483,942.2,0.6414,0.8299,0.8769,0.8944,0.3792,0.8133,0.8465,612,0.0261,0.0,97.2,0.037,184.2,0.7801,6758,0.9502,2551,1.0,174
150-300,27,4935,989.0,0.4744,0.735,0.834,0.8671,0.4985,0.6974,0.7704,652,0.0383,0.0,143.8,0.3333,287.4,0.6668,3662,0.9275,1214,1.0,59
>=300,3,934,1000.0,0.3019,0.6188,0.7484,0.8137,0.5113,,,182,0.033,0.0,221.3,1.0,484.3,0.5753,810,0.9016,122,1.0,2
