image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273271,1ff68000b0151886",11,<50,199,11,11,11,11,13,0,17,0,0,0,0,0,11,11
"273271,20a02000f1bcfb00",5,<50,153,0,0,0,0,10,0,16,0,0,0,0,0,5,0
"273271,20ae800047248409",5,<50,236,0,0,0,0,13,0,17,0,0,0,0,0,5,0
"273271,20ffb000f5650fea",4,<50,126,0,0,0,0,6,0,9,0,0,0,0,0,4,0
"273271,212ef000505c8286",9,<50,350,0,0,0,0,21,0,29,0,0,0,0,0,9,0
"273271,213170000a5f09b3",6,<50,207,6,6,6,6,5,0,12,0,0,0,0,0,6,6
"273271,21864000f8886c1b",15,<50,229,12,13,13,13,19,0,24,0,0,0,0,0,15,13
"273271,2189f00051276139",5,<50,204,5,5,5,5,14,0,19,0,0,0,0,0,5,5
"273271,219640002d98657b",4,<50,154,1,2,2,2,12,0,15,0,0,0,0,0,4,2
"273271,21ecc000206d7951",21,<50,322,14,16,17,17,33,0,40,0,0,0,0,0,21,16
"273271,21f7f00077d5f4ec",5,<50,146,0,0,0,0,6,0,11,0,0,0,0,0,5,0
"273271,222c700034b1892f",3,<50,48,1,1,1,1,3,0,4,0,0,0,0,0,3,1
"273271,222f00007e89675c",6,<50,167,4,5,5,5,8,0,12,0,0,0,0,0,6,5
"273271,2277e000891f2e71",13,<50,554,12,12,13,13,17,0,27,0,0,0,0,0,13,12
"273271,22b030001c7be4ec",5,<50,57,0,0,0,0,4,0,10,0,0,0,0,0,5,0
"273271,22c84000744abf1f",28,<50,206,25,25,25,25,27,0,33,0,0,0,18,15,10,10
"273271,22d4b000dc140bf3",6,<50,139,6,6,6,6,12,0,13,0,1,1,1,1,4,4
"273271,22f4f0002b8b12fd",26,<50,332,15,23,23,23,19,0,32,0,0,0,0,0,26,23
"273271,22f940006fbbb182",7,<50,119,6,6,6,6,10,0,15,0,0,0,0,0,7,6
"273271,2325b000a51c94f4",6,<50,67,6,6,6,6,7,0,14,0,0,0,1,1,5,5
"273271,233c5000b4869d9b",3,<50,105,3,3,3,3,11,0,12,0,0,0,0,0,3,3
"273271,2342c00020f492db",51,50-100,578,19,27,30,30,35,0,52,0,0,0,0,0,51,27
"273271,236770002c5e37ce",11,<50,325,10,10,10,10,21,0,33,0,0,0,0,0,11,10
"273271,236d8000a42d1234",17,<50,168,17,17,17,17,23,0,26,0,0,0,16,16,1,1
"273271,236f40003237a8ca",23,<50,923,9,9,13,15,26,0,44,0,0,0,0,0,23,9
"273271,23d9d0000f219568",21,<50,189,19,19,19,19,21,0,24,0,2,2,12,10,7,7
"273271,253a7000ced2b293",25,<50,255,21,22,22,22,35,0,44,0,0,0,2,1,23,21
"273271,25d0003419579b",19,<50,287,16,17,17,17,14,0,21,0,0,0,1,0,18,17
"273271,25d38000201516ad",76,50-100,964,55,63,65,66,31,0,46,0,16,11,56,48,4,4
"273271,25de80001c3cb24b",14,<50,171,11,12,12,12,20,0,24,0,0,0,0,0,14,12
"273271,2627d000cece5c2f",104,100-150,502,48,60,63,63,20,0,35,0,43,16,52,37,9,7
"273271,263cf000b065caf8",27,<50,509,21,21,21,21,28,0,37,0,2,0,18,15,7,6
"273271,2644300003c8caac",27,<50,317,16,16,16,16,13,0,20,0,0,0,18,8,9,8
"273271,2646500003842bb2",20,<50,179,17,18,18,18,24,0,29,0,0,0,0,0,20,18
"273271,265c9000e1a72c57",11,<50,201,11,11,11,11,16,0,21,0,0,0,2,2,9,9
"273271,26f250004abc2e0d",5,<50,52,5,5,5,5,6,0,7,0,0,0,0,0,5,5
"273271,26f86000482db820",5,<50,172,1,1,1,1,1,0,11,0,0,0,0,0,5,1
"273271,2720e0009fd8f9d2",25,<50,299,20,21,21,21,26,0,32,0,0,0,0,0,25,21
"273271,275bd000ba4f2a04",17,<50,267,16,16,16,16,18,0,23,0,0,0,5,4,12,12
"273271,28115000d728c131",60,50-100,329,42,48,48,48,28,0,39,0,3,2,31,22,26,24
"273271,28cc90007e02e6a6",20,<50,453,15,17,17,17,29,0,39,0,13,10,1,1,6,6
"273271,292000f8e9eec1",12,<50,251,10,10,10,10,17,0,24,0,0,0,0,0,12,10
"273271,29873000cc84f9ab",8,<50,261,7,7,7,7,14,0,19,0,0,0,3,2,5,5
"273271,299570006cb822b1",32,<50,475,21,25,25,25,31,0,43,0,0,0,0,0,32,25
"273271,2a10a000c689f4cb",7,<50,110,7,7,7,7,8,0,10,0,0,0,0,0,7,7
"273271,2a7c20009fa3170e",20,<50,127,19,19,19,19,19,0,22,0,0,0,10,10,10,9
"273271,2b0f0000f33b8464",19,<50,538,14,16,16,16,28,0,40,0,0,0,1,1,18,15
"273271,2b27b00094562021",8,<50,131,3,3,3,3,9,0,11,0,0,0,0,0,8,3
"273271,2b3eb0002dbca786",25,<50,451,22,22,22,22,26,0,46,0,0,0,16,16,9,6
"273271,2ba7800042e32680",6,<50,141,4,4,4,4,9,0,13,0,0,0,0,0,6,4
"273271,2bb9000df8fb9a4",11,<50,306,8,9,9,9,18,0,24,0,0,0,0,0,11,9
"273271,2c2e6000e67483fc",7,<50,60,7,7,7,7,10,0,10,0,0,0,0,0,7,7
"273271,2c38c00072c450c5",33,<50,153,24,27,27,27,31,0,36,0,1,1,10,9,22,17
"273271,2c499000f7243938",13,<50,135,13,13,13,13,16,0,18,0,1,1,2,2,10,10
"273271,2c4bb000b97e592c",13,<50,283,11,11,11,11,15,0,17,0,0,0,0,0,13,11
"273271,2c582000ec648358",9,<50,323,8,8,8,8,31,0,41,0,0,0,0,0,9,8
"273271,2c96700081ae3025",8,<50,112,5,6,6,6,11,0,13,0,0,0,0,0,8,6
"273271,2cea40001ab86356",49,<50,403,38,42,42,42,26,0,39,0,0,0,38,31,11,11
"273271,2cf58000b6724d4f",7,<50,33,7,7,7,7,11,0,13,0,0,0,0,0,7,7
"273271,2d06000091c70338",14,<50,85,12,12,12,12,13,0,17,0,0,0,3,2,11,10
"273271,2d284000f7dfd099",8,<50,114,4,4,4,4,8,0,11,0,0,0,0,0,8,4
"273271,2e3df0005fcee449",23,<50,534,19,20,21,21,31,0,40,0,0,0,0,0,23,20
"273271,2f11d000b2496dd0",36,<50,420,31,34,34,34,25,0,43,0,0,0,5,5,31,29
"273271,2f189000f412b61d",40,<50,177,25,26,26,26,21,0,31,0,0,0,2,2,38,24
"273271,2f91100026a5884d",17,<50,161,17,17,17,17,19,0,20,0,5,5,10,10,2,2
"273271,2f9cf00055c5f408",11,<50,171,10,10,10,10,12,0,16,0,0,0,8,7,3,3
"273271,32640007e02c071",4,<50,119,2,2,2,2,5,0,8,0,0,0,0,0,4,2
"273271,3a5e000d8876f1b",30,<50,832,16,21,21,21,51,0,92,0,0,0,0,0,30,21
"273271,3aa80005bd2228c",18,<50,142,18,18,18,18,37,0,42,0,0,0,0,0,18,18
"273271,49df000b72422a4",61,50-100,911,35,41,42,43,25,0,55,0,30,18,30,22,1,1
"273271,4df400094283283",70,50-100,998,25,34,36,39,36,0,90,0,0,0,9,3,61,31
"273271,537f000c925ee39",31,<50,709,11,19,21,21,57,0,102,0,0,0,0,0,31,19
"273271,567e000e6056790",8,<50,74,2,2,2,2,9,0,14,0,0,0,2,0,6,2
"273271,56da000eae8b77e",14,<50,167,9,9,9,9,13,0,19,0,0,0,0,0,14,9
"273271,61f6000dd621091",4,<50,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"273271,63310004bcf4080",8,<50,159,6,6,6,6,11,0,15,0,0,0,0,0,8,6
"273271,66c80000d2981c7",63,50-100,301,24,36,36,36,37,0,59,0,0,0,39,19,24,17
"273271,66ed000feeb94c4",9,<50,62,8,8,8,8,10,0,12,0,0,0,1,1,8,7
"273271,6978000bc5ca523",10,<50,583,9,10,10,10,56,0,90,0,0,0,0,0,10,10
"273271,6f08000d660ba5c",12,<50,125,10,10,10,10,11,0,13,0,0,0,1,0,11,10
"273271,70de000d7a4bf67",13,<50,109,12,12,12,12,16,0,19,0,0,0,0,0,13,12
"273271,8175000acdc1bb2",15,<50,262,11,11,11,11,17,0,20,0,0,0,4,2,11,9
"273271,838a000a6c32064",13,<50,121,11,11,11,11,17,0,21,0,0,0,0,0,13,11
"273271,83fd000a7f0dba0",10,<50,71,7,7,7,7,10,0,10,0,0,0,0,0,10,7
"273271,945100033c01e9a",8,<50,50,2,2,2,2,5,0,8,0,0,0,0,0,8,2
"273271,952300091ad43ba",53,50-100,595,43,48,49,49,42,0,68,0,0,0,0,0,53,48
"273271,9e4f0004d21d70b",19,<50,141,13,13,13,13,13,0,17,0,0,0,3,1,16,12
"273271,a01a000ee6d7912",37,<50,292,30,33,33,33,25,0,35,0,2,1,25,23,10,9
"273271,a1dd0001077d1d8",4,<50,121,3,3,3,3,4,0,6,0,0,0,0,0,4,3
"273271,a319000bbe7020e",5,<50,142,3,4,4,4,8,0,10,0,0,0,0,0,5,4
"273271,aa0e000d3082d25",11,<50,190,4,4,4,4,13,0,17,0,0,0,0,0,11,4
"273271,aaa9000baccf24e",12,<50,367,7,9,9,9,13,0,22,0,0,0,0,0,12,9
"273271,c1e5000c38abee6",35,<50,399,13,14,17,17,44,0,54,0,0,0,0,0,35,14
"273271,c732000363c2477",13,<50,606,12,12,12,12,18,0,24,0,0,0,0,0,13,12
"273271,c97200070d27530",79,50-100,538,46,56,64,64,21,0,38,0,0,0,55,34,24,22
"273271,c9db000d5146c15",6,<50,150,5,5,5,5,8,0,11,0,0,0,0,0,6,5
"273271,e291000150cea56",17,<50,55,4,4,4,4,5,0,6,0,0,0,0,0,17,4
"273271,e38b000165dec86",29,<50,440,24,24,24,24,26,0,39,0,0,0,0,0,29,24
"273271,f1e00008dc402a8",6,<50,128,0,0,0,0,3,0,9,0,0,0,0,0,6,0
"273271,f2b1000ed733672",6,<50,54,3,3,3,3,6,0,6,0,0,0,0,0,6,3
"273271,f30000061983aad",6,<50,204,3,3,3,3,7,0,9,0,0,0,0,0,6,3
"273271,f51c000f2c89893",14,<50,137,12,12,12,12,12,0,18,0,0,0,0,0,14,12
"273271,f6b60006f357250",9,<50,145,4,4,4,4,13,0,20,0,0,0,2,0,7,4
"273271,f7900000bf30e5b",16,<50,538,8,10,10,10,13,0,24,0,0,0,3,0,13,10
"273271,fb48000b01fe0f2",102,100-150,467,51,72,78,78,27,0,40,0,0,0,95,67,7,5
"273275,1004c4000f0fb8bd8",37,<50,283,15,22,22,22,29,0,42,0,0,0,9,9,28,13
"273275,100800003b13c799",25,<50,328,13,16,16,16,11,0,18,0,0,0,0,0,25,16
"273275,100d7c00070f46c13",5,<50,20,0,0,0,0,6,0,6,0,0,0,0,0,5,0
"273275,1013e4000adee7bb2",25,<50,174,13,14,14,14,29,0,34,0,0,0,0,0,25,14
"273275,101813000cc57dcb4",16,<50,336,10,10,10,10,23,0,29,0,0,0,0,0,16,10
"273275,102921000b5d04ac5",12,<50,218,12,12,12,12,12,0,22,0,0,0,0,0,12,12
"273275,102ad600001fb98c3",69,50-100,226,47,50,50,50,34,0,64,0,0,0,25,18,44,32
"273275,102e6f000248d191a",11,<50,87,2,2,2,2,13,0,14,0,0,0,0,0,11,2
"273275,1038bc000d0fa9dba",7,<50,49,7,7,7,7,7,0,10,0,0,0,0,0,7,7
"273275,103a6e0005595ca40",11,<50,184,4,4,4,4,10,0,15,0,0,0,4,4,7,0
"273275,103ab10002ef83676",28,<50,195,21,21,21,21,26,0,39,0,0,0,0,0,28,21
"273275,10459300057c9c8d1",10,<50,158,10,10,10,10,12,0,16,0,0,0,0,0,10,10
"273275,1052c00006278ec1c",12,<50,301,8,8,8,8,11,0,18,0,0,0,6,4,6,4
"273275,1059670006e19bbb2",27,<50,621,15,20,24,24,33,0,47,0,0,0,0,0,27,20
"273275,105b44000a49f7fb5",17,<50,204,11,13,13,13,23,0,29,0,0,0,1,0,16,13
"273275,105d8000015744e9f",16,<50,159,15,16,16,16,21,0,28,0,0,0,0,0,16,16
"273275,106a20000df0ef0f9",7,<50,90,1,1,1,1,9,0,9,0,0,0,0,0,7,1
"273275,106e6300011c001bb",6,<50,166,4,4,4,4,13,0,16,0,0,0,0,0,6,4
"273275,1077ba00071c902af",18,<50,438,18,18,18,18,28,0,38,0,0,0,8,8,10,10
"273275,1077dd000a9aab1d8",12,<50,228,10,11,11,11,20,0,34,0,0,0,0,0,12,11
"273275,107f96000c89bb5b8",37,<50,295,24,31,31,31,34,0,49,0,0,0,9,5,28,26
"273275,107fc000f0823c6d",4,<50,190,4,4,4,4,8,0,11,0,1,1,1,1,2,2
"273275,107ff9000b07f2b82",53,50-100,968,21,21,22,24,53,0,102,0,0,0,0,0,53,21
"273275,10872d00027b15ed4",3,<50,67,2,2,2,2,3,0,4,0,0,0,0,0,3,2
"273275,10876a000fa184daf",19,<50,281,5,5,5,5,20,0,27,0,0,0,4,2,15,3
"273275,108b56000b706f71e",9,<50,340,7,8,8,8,9,0,14,0,4,3,5,5,0,0
"273275,108fa80006da5d0d9",5,<50,46,5,5,5,5,5,0,8,0,0,0,0,0,5,5
"273275,109b02000f637419e",15,<50,245,14,14,14,14,18,0,27,0,0,0,8,8,7,6
"273275,10a3fd000bd4ec4a4",16,<50,119,14,14,14,14,19,0,25,0,0,0,0,0,16,14
"273275,10a84c000e2225ea2",43,<50,319,25,30,30,30,30,0,42,0,0,0,1,0,42,30
"273275,10ae9b000921b9705",6,<50,477,5,5,5,5,20,0,34,0,0,0,0,0,6,5
"273275,10ba7f000a218d732",10,<50,198,9,9,9,9,12,0,19,0,0,0,0,0,10,9
"273275,10bb660004953ba37",17,<50,247,14,15,15,15,25,0,39,0,0,0,0,0,17,15
"273275,10c38a000f42d4441",39,<50,295,20,24,24,24,26,0,31,0,0,0,16,4,23,20
"273275,10c980000fee2dac9",8,<50,56,1,1,1,1,5,0,7,0,0,0,0,0,8,1
"273275,10ccb30005e9e6a21",7,<50,135,5,5,5,5,12,0,15,0,0,0,0,0,7,5
"273275,10cd9200055f04d4a",15,<50,1000,12,12,13,14,45,0,77,0,0,0,0,0,15,12
"273275,10d6ed0003569eea8",25,<50,286,6,11,11,11,39,0,43,0,0,0,0,0,25,11
"273275,10de80000ffc28dff",9,<50,178,4,4,4,4,12,0,22,0,0,0,0,0,9,4
"273275,10e882000db631cd7",5,<50,468,3,3,3,3,11,0,30,0,0,0,0,0,5,3
"273275,10ed90000ecd7b9a1",5,<50,68,0,0,0,0,10,0,13,0,0,0,0,0,5,0
"273275,10f147000e1fad25c",12,<50,208,1,1,1,1,14,0,28,0,0,0,0,0,12,1
