image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
"273271,1ff68000b0151886",11,<50,224,10,11,11,11,11,0,14,0,0,0,0,0,11,11
"273271,20a02000f1bcfb00",5,<50,147,0,0,0,0,6,0,14,0,0,0,0,0,5,0
"273271,20ae800047248409",5,<50,293,0,0,0,0,6,0,12,0,0,0,0,0,5,0
"273271,20ffb000f5650fea",4,<50,296,1,1,1,1,7,0,9,0,0,0,0,0,4,1
"273271,212ef000505c8286",9,<50,424,0,1,1,1,15,0,28,0,0,0,0,0,9,1
"273271,213170000a5f09b3",6,<50,258,6,6,6,6,8,0,11,0,0,0,0,0,6,6
"273271,21864000f8886c1b",15,<50,469,11,12,12,12,18,0,28,0,0,0,0,0,15,12
"273271,2189f00051276139",5,<50,408,5,5,5,5,11,0,24,0,0,0,0,0,5,5
"273271,219640002d98657b",4,<50,125,1,1,1,1,7,0,11,0,0,0,0,0,4,1
"273271,21ecc000206d7951",21,<50,547,13,14,15,15,28,0,36,0,0,0,0,0,21,14
"273271,21f7f00077d5f4ec",5,<50,196,0,0,0,0,5,0,12,0,0,0,0,0,5,0
"273271,222c700034b1892f",3,<50,71,1,1,1,1,2,0,4,0,0,0,0,0,3,1
"273271,222f00007e89675c",6,<50,231,3,4,4,4,6,0,13,0,0,0,0,0,6,4
"273271,2277e000891f2e71",13,<50,651,12,12,13,13,19,0,32,0,0,0,0,0,13,12
"273271,22b030001c7be4ec",5,<50,98,0,0,0,0,8,0,9,0,0,0,0,0,5,0
"273271,22c84000744abf1f",28,<50,445,24,25,25,25,32,0,44,0,0,0,18,15,10,10
"273271,22d4b000dc140bf3",6,<50,162,6,6,6,6,10,0,11,0,1,1,1,1,4,4
"273271,22f4f0002b8b12fd",26,<50,476,12,19,20,20,18,0,35,0,0,0,0,0,26,19
"273271,22f940006fbbb182",7,<50,210,6,6,6,6,7,0,13,0,0,0,0,0,7,6
"273271,2325b000a51c94f4",6,<50,110,6,6,6,6,7,0,9,0,0,0,1,1,5,5
"273271,233c5000b4869d9b",3,<50,133,3,3,3,3,11,0,16,0,0,0,0,0,3,3
"273271,2342c00020f492db",51,50-100,966,14,26,32,34,27,0,55,0,0,0,0,0,51,26
"273271,236770002c5e37ce",11,<50,449,10,10,10,10,17,0,23,0,0,0,0,0,11,10
"273271,236d8000a42d1234",17,<50,279,17,17,17,17,19,0,26,0,0,0,16,16,1,1
"273271,236f40003237a8ca",23,<50,894,12,13,15,16,24,0,37,0,0,0,0,0,23,13
"273271,23d9d0000f219568",21,<50,375,19,20,20,20,21,0,28,0,2,2,12,11,7,7
"273271,253a7000ced2b293",25,<50,437,18,19,20,20,24,0,38,0,0,0,2,1,23,18
"273271,25d0003419579b",19,<50,634,12,14,16,16,14,0,25,0,0,0,1,1,18,13
"273271,25d38000201516ad",76,50-100,923,50,65,68,69,29,0,49,0,16,11,56,50,4,4
"273271,25de80001c3cb24b",14,<50,429,13,13,13,13,15,0,25,0,0,0,0,0,14,13
"273271,2627d000cece5c2f",104,100-150,537,35,52,60,60,12,0,24,0,43,11,52,34,9,7
"273271,263cf000b065caf8",27,<50,614,21,21,21,21,29,0,38,0,2,0,18,15,7,6
"273271,2644300003c8caac",27,<50,208,15,19,19,19,12,0,18,0,0,0,18,11,9,8
"273271,2646500003842bb2",20,<50,284,13,18,18,18,20,0,24,0,0,0,0,0,20,18
"273271,265c9000e1a72c57",11,<50,285,11,11,11,11,15,0,19,0,0,0,2,2,9,9
"273271,26f250004abc2e0d",5,<50,60,5,5,5,5,6,0,6,0,0,0,0,0,5,5
"273271,26f86000482db820",5,<50,171,1,1,1,1,4,0,10,0,0,0,0,0,5,1
"273271,2720e0009fd8f9d2",25,<50,438,19,20,20,20,18,0,30,0,0,0,0,0,25,20
"273271,275bd000ba4f2a04",17,<50,408,14,16,16,16,15,0,23,0,0,0,5,4,12,12
"273271,28115000d728c131",60,50-100,366,42,47,47,47,25,0,43,0,3,0,31,22,26,25
"273271,28cc90007e02e6a6",20,<50,466,16,17,17,17,20,0,36,0,13,10,1,1,6,6
"273271,292000f8e9eec1",12,<50,391,10,10,10,10,17,0,25,0,0,0,0,0,12,10
"273271,29873000cc84f9ab",8,<50,282,7,8,8,8,9,0,18,0,0,0,3,3,5,5
"273271,299570006cb822b1",32,<50,791,22,25,26,26,24,0,40,0,0,0,0,0,32,25
"273271,2a10a000c689f4cb",7,<50,178,7,7,7,7,7,0,12,0,0,0,0,0,7,7
"273271,2a7c20009fa3170e",20,<50,207,19,19,19,19,17,0,19,0,0,0,10,10,10,9
"273271,2b0f0000f33b8464",19,<50,729,14,16,17,17,26,0,29,0,0,0,1,1,18,15
"273271,2b27b00094562021",8,<50,205,4,4,4,4,8,0,14,0,0,0,0,0,8,4
"273271,2b3eb0002dbca786",25,<50,645,22,23,23,23,19,0,34,0,0,0,16,16,9,7
"273271,2ba7800042e32680",6,<50,201,3,3,3,3,9,0,13,0,0,0,0,0,6,3
"273271,2bb9000df8fb9a4",11,<50,519,11,11,11,11,16,0,23,0,0,0,0,0,11,11
"273271,2c2e6000e67483fc",7,<50,137,7,7,7,7,10,0,10,0,0,0,0,0,7,7
"273271,2c38c00072c450c5",33,<50,376,25,27,29,29,27,0,35,0,1,1,10,9,22,17
"273271,2c499000f7243938",13,<50,227,13,13,13,13,13,0,15,0,1,1,2,2,10,10
"273271,2c4bb000b97e592c",13,<50,308,12,12,12,12,18,0,24,0,0,0,0,0,13,12
"273271,2c582000ec648358",9,<50,449,7,8,8,8,24,0,42,0,0,0,0,0,9,8
"273271,2c96700081ae3025",8,<50,200,6,6,6,6,7,0,8,0,0,0,0,0,8,6
"273271,2cea40001ab86356",49,<50,706,39,43,45,45,26,0,37,0,0,0,38,32,11,11
"273271,2cf58000b6724d4f",7,<50,110,7,7,7,7,8,0,14,0,0,0,0,0,7,7
"273271,2d06000091c70338",14,<50,175,11,13,13,13,11,0,18,0,0,0,3,2,11,11
"273271,2d284000f7dfd099",8,<50,182,3,3,3,3,8,0,8,0,0,0,0,0,8,3
"273271,2e3df0005fcee449",23,<50,553,18,19,22,22,24,0,42,0,0,0,0,0,23,19
"273271,2f11d000b2496dd0",36,<50,552,30,33,34,34,21,0,38,0,0,0,5,5,31,28
"273271,2f189000f412b61d",40,<50,346,26,29,29,29,18,0,34,0,0,0,2,2,38,27
"273271,2f91100026a5884d",17,<50,306,16,16,16,16,18,0,24,0,5,5,10,9,2,2
"273271,2f9cf00055c5f408",11,<50,280,10,11,11,11,12,0,17,0,0,0,8,8,3,3
"273271,32640007e02c071",4,<50,241,2,2,2,2,4,0,7,0,0,0,0,0,4,2
"273271,3a5e000d8876f1b",30,<50,937,14,24,25,26,23,0,63,0,0,0,0,0,30,24
"273271,3aa80005bd2228c",18,<50,285,18,18,18,18,28,0,35,0,0,0,0,0,18,18
"273271,49df000b72422a4",61,50-100,945,27,33,41,47,25,0,46,0,30,13,30,19,1,1
"273271,4df400094283283",70,50-100,996,29,38,42,44,18,0,47,0,0,0,9,1,61,37
"273271,537f000c925ee39",31,<50,929,9,12,14,15,40,0,83,0,0,0,0,0,31,12
"273271,567e000e6056790",8,<50,167,1,1,1,1,7,0,16,0,0,0,2,0,6,1
"273271,56da000eae8b77e",14,<50,418,9,9,9,9,13,0,24,0,0,0,0,0,14,9
"273271,61f6000dd621091",4,<50,73,0,0,0,0,0,0,2,0,0,0,0,0,4,0
"273271,63310004bcf4080",8,<50,254,6,7,7,7,11,0,13,0,0,0,0,0,8,7
"273271,66c80000d2981c7",63,50-100,777,22,36,41,41,29,0,59,0,0,0,39,19,24,17
"273271,66ed000feeb94c4",9,<50,110,7,7,7,7,8,0,12,0,0,0,1,1,8,6
"273271,6978000bc5ca523",10,<50,842,9,10,10,10,35,0,84,0,0,0,0,0,10,10
"273271,6f08000d660ba5c",12,<50,433,11,11,11,11,9,0,12,0,0,0,1,0,11,11
"273271,70de000d7a4bf67",13,<50,304,10,11,11,11,12,0,14,0,0,0,0,0,13,11
"273271,8175000acdc1bb2",15,<50,634,12,12,12,12,16,0,21,0,0,0,4,2,11,10
"273271,838a000a6c32064",13,<50,276,11,11,11,11,15,0,20,0,0,0,0,0,13,11
"273271,83fd000a7f0dba0",10,<50,173,7,7,7,7,11,0,11,0,0,0,0,0,10,7
"273271,945100033c01e9a",8,<50,135,2,2,2,2,3,0,6,0,0,0,0,0,8,2
"273271,952300091ad43ba",53,50-100,715,41,49,50,50,33,0,58,0,0,0,0,0,53,49
"273271,9e4f0004d21d70b",19,<50,189,11,12,12,12,12,0,13,0,0,0,3,1,16,11
"273271,a01a000ee6d7912",37,<50,357,26,32,34,34,27,0,44,0,2,0,25,23,10,9
"273271,a1dd0001077d1d8",4,<50,134,3,3,3,3,3,0,6,0,0,0,0,0,4,3
"273271,a319000bbe7020e",5,<50,168,3,3,3,3,2,0,12,0,0,0,0,0,5,3
"273271,aa0e000d3082d25",11,<50,374,3,3,3,3,14,0,27,0,0,0,0,0,11,3
"273271,aaa9000baccf24e",12,<50,441,8,9,9,9,15,0,24,0,0,0,0,0,12,9
"273271,c1e5000c38abee6",35,<50,523,13,17,19,19,23,0,42,0,0,0,0,0,35,17
"273271,c732000363c2477",13,<50,329,8,8,9,9,14,0,16,0,0,0,0,0,13,8
"273271,c97200070d27530",79,50-100,860,38,52,54,57,16,0,28,0,0,0,55,33,24,19
"273271,c9db000d5146c15",6,<50,204,6,6,6,6,7,0,12,0,0,0,0,0,6,6
"273271,e291000150cea56",17,<50,154,4,4,4,4,4,0,6,0,0,0,0,0,17,4
"273271,e38b000165dec86",29,<50,609,22,24,24,24,22,0,41,0,0,0,0,0,29,24
"273271,f1e00008dc402a8",6,<50,229,1,1,1,1,4,0,9,0,0,0,0,0,6,1
"273271,f2b1000ed733672",6,<50,172,3,3,3,3,6,0,6,0,0,0,0,0,6,3
"273271,f30000061983aad",6,<50,250,2,2,2,2,6,0,8,0,0,0,0,0,6,2
"273271,f51c000f2c89893",14,<50,235,13,13,13,13,14,0,22,0,0,0,0,0,14,13
"273271,f6b60006f357250",9,<50,222,4,4,4,4,6,0,10,0,0,0,2,0,7,4
"273271,f7900000bf30e5b",16,<50,556,9,9,11,11,9,0,16,0,0,0,3,0,13,9
"273271,fb48000b01fe0f2",102,100-150,971,45,62,70,74,18,0,27,0,0,0,95,55,7,7
"273275,1004c4000f0fb8bd8",37,<50,443,12,17,20,20,29,0,50,0,0,0,9,9,28,8
"273275,100800003b13c799",25,<50,383,12,14,15,15,7,0,18,0,0,0,0,0,25,14
"273275,100d7c00070f46c13",5,<50,63,0,0,0,0,6,0,7,0,0,0,0,0,5,0
"273275,1013e4000adee7bb2",25,<50,233,11,11,11,11,29,0,35,0,0,0,0,0,25,11
"273275,101813000cc57dcb4",16,<50,408,9,10,11,11,21,0,33,0,0,0,0,0,16,10
"273275,102921000b5d04ac5",12,<50,300,9,10,10,10,12,0,21,0,0,0,0,0,12,10
"273275,102ad600001fb98c3",69,50-100,474,38,46,51,51,27,0,50,0,0,0,25,15,44,31
