image,n_gt,bucket,n_det_total,matched@100,matched@300,matched@600,matched@1000,ndet@conf0.25,sat@conf0.25,ndet@conf0.1,sat@conf0.1,n_gt_small,matched300_small,n_gt_medium,matched300_medium,n_gt_large,matched300_large
0000103_02544_d_0000029,14,<50,559,12,14,14,14,10,0,25,0,0,0,10,10,4,4
0000103_02964_d_0000030,10,<50,345,10,10,10,10,14,0,19,0,0,0,0,0,10,10
0000103_03349_d_0000031,4,<50,105,4,4,4,4,7,0,9,0,0,0,0,0,4,4
0000103_03738_d_0000032,3,<50,92,3,3,3,3,4,0,5,0,0,0,0,0,3,3
0000103_04122_d_0000033,4,<50,162,4,4,4,4,8,0,10,0,0,0,4,4,0,0
0000103_04513_d_0000034,2,<50,141,2,2,2,2,2,0,5,0,0,0,1,1,1,1
0000103_04948_d_0000035,1,<50,61,1,1,1,1,1,0,1,0,0,0,0,0,1,1
0000115_00315_d_0000080,61,50-100,510,28,37,41,41,10,0,24,0,56,33,5,4,0,0
0000115_00796_d_0000081,78,50-100,719,44,58,62,62,26,0,54,0,67,48,11,10,0,0
0000115_01031_d_0000082,63,50-100,730,44,53,57,57,18,0,36,0,52,42,11,11,0,0
0000116_00351_d_0000083,74,50-100,966,40,54,61,66,21,0,49,0,65,46,9,8,0,0
0000116_00819_d_0000084,36,<50,656,24,29,31,31,14,0,26,0,24,19,12,10,0,0
0000116_01059_d_0000085,70,50-100,732,43,56,62,62,22,0,47,0,59,48,11,8,0,0
0000116_01338_d_0000086,54,50-100,786,30,43,46,47,19,0,34,0,47,36,5,5,2,2
0000117_00112_d_0000087,129,100-150,963,69,108,117,122,37,0,81,0,112,92,13,12,4,4
0000117_01326_d_0000088,62,50-100,784,41,49,51,54,31,0,57,0,34,25,27,23,1,1
0000117_01731_d_0000089,47,<50,762,42,45,46,46,35,0,54,0,27,26,15,14,5,5
0000117_02708_d_0000090,100,100-150,953,52,65,76,79,30,0,71,0,64,36,36,29,0,0
0000117_03096_d_0000091,24,<50,309,23,24,24,24,20,0,28,0,8,8,14,14,2,2
0000129_02411_d_0000138,186,150-300,993,74,111,124,135,27,0,127,0,73,8,113,103,0,0
0000153_00001_d_0000001,55,50-100,695,32,37,39,40,26,0,44,0,47,31,8,6,0,0
0000153_00401_d_0000001,59,50-100,810,42,50,51,52,32,0,64,0,47,38,11,11,1,1
0000153_00801_d_0000001,49,<50,557,29,37,41,41,17,0,27,0,40,30,9,7,0,0
0000153_01201_d_0000001,59,50-100,774,26,35,38,40,14,0,36,0,57,34,2,1,0,0
0000153_01601_d_0000001,63,50-100,675,36,43,47,48,22,0,42,0,57,39,5,3,1,1
0000153_01801_d_0000001,55,50-100,607,26,37,39,39,15,0,37,0,52,34,3,3,0,0
0000154_00001_d_0000001,51,50-100,652,34,42,43,43,24,0,45,0,43,34,8,8,0,0
0000154_00401_d_0000001,60,50-100,768,36,46,49,50,20,0,47,0,51,38,9,8,0,0
0000154_00801_d_0000001,72,50-100,808,43,51,56,59,21,0,47,0,67,47,5,4,0,0
0000154_01201_d_0000001,81,50-100,827,42,56,59,60,33,0,47,0,75,50,6,6,0,0
0000154_01601_d_0000001,101,100-150,831,58,72,81,83,30,0,57,0,86,59,15,13,0,0
0000154_02001_d_0000001,83,50-100,708,48,64,70,70,36,0,59,0,74,55,8,8,1,1
0000155_00001_d_0000001,97,50-100,929,54,67,77,82,55,0,82,0,73,46,23,20,1,1
0000155_00401_d_0000001,122,100-150,885,60,81,88,91,50,0,84,0,106,68,16,13,0,0
0000155_00801_d_0000001,106,100-150,896,66,85,91,93,44,0,74,0,86,66,20,19,0,0
0000155_01201_d_0000001,94,50-100,968,47,65,72,77,33,0,60,0,82,54,12,11,0,0
0000155_01601_d_0000001,73,50-100,936,47,61,65,67,47,0,84,0,63,51,10,10,0,0
0000155_01871_d_0000001,55,50-100,797,38,46,47,48,32,0,59,0,46,38,9,8,0,0
0000162_00001_d_0000001,34,<50,478,29,32,34,34,23,0,34,0,26,24,7,7,1,1
0000162_00401_d_0000001,45,<50,720,32,39,39,40,23,0,36,0,39,33,5,5,1,1
0000162_00801_d_0000001,30,<50,613,22,24,25,25,20,0,40,0,25,20,3,2,2,2
0000162_01058_d_0000001,57,50-100,855,35,47,48,48,26,0,42,0,48,39,9,8,0,0
0000163_00001_d_0000001,69,50-100,951,41,57,62,63,28,0,62,0,58,50,9,6,2,1
0000163_00359_d_0000001,54,50-100,622,32,40,43,43,9,0,24,0,49,36,5,4,0,0
0000165_04325_d_0000105,29,<50,517,21,23,24,24,17,0,27,0,14,10,12,11,3,2
0000166_00558_d_0000118,71,50-100,974,45,55,60,63,44,0,55,0,19,10,39,34,13,11
